announcement_date,announcement_time,stock_id,company_name,title,event_id,eps_value,profit_value,has_compare_context,has_price_file,strategy_bucket,source
2026-03-11,19:26:59,1101,台泥,公告本公司114年12月關係人交易申報數調整,mops_1101_20260311_192659_5,,,False,True,topic_06_review,mops_api_t05st01
2026-01-07,11:34:32,1215,卜蜂,澄清新聞媒體報導本公司每股純益之說明,mops_1215_20260107_113432_1,1.0,,False,False,topic_06_eps_catalyst,mops_api_t05st01
2026-05-11,14:03:47,1264,德麥,公告本公司董事會重要決議事項,mops_1264_20260511_140347_2,5.5,203870.0,False,False,topic_06_eps_catalyst,mops_api_t05st01
2026-03-25,18:39:47,1294,漢田生技,更正114年度個體財報及合併財報附註資訊，與損益無關,mops_1294_20260325_183947_2,,,False,False,topic_06_review,mops_api_t05st01
2026-03-24,15:59:14,1304,台聚,"係因本公司有價證券於集中交易市場達公布注意交易資訊標準，
故公布相關財務業務等重大訊息，以利投資人區別瞭解",mops_1304_20260324_155914_1,,,True,False,topic_06_review,mops_api_t05st01
2026-03-25,15:47:29,1305,華夏,"係因本公司有價證券於集中交易市場達公布注意交易資訊標準，
故公布相關財務業務等重大訊息，以利投資人區別瞭解。",mops_1305_20260325_154729_1,,,True,False,topic_06_review,mops_api_t05st01
2026-03-31,06:48:49,1314,中石化,本公司董事會通過收購高雄塑酯化學工業股份有限公司60%股權,mops_1314_20260331_064849_1,,,False,False,topic_06_review,mops_api_t05st01
2026-02-06,14:11:39,1316,上曜,"公告本公司董事會通過重編民國114第1季、第2季
及第3季合併財務報告說明",mops_1316_20260206_141139_1,0.31,,False,True,topic_06_eps_catalyst,mops_api_t05st01
2026-02-09,13:21:44,1316,上曜,"公告本公司董事會通過重編民國114第1季、第2季
及第3季合併財務報告說明
(補充2/6重訊:新增重編受連動影響之附註)",mops_1316_20260209_132144_1,0.31,,False,True,topic_06_eps_catalyst,mops_api_t05st01
2026-04-08,15:47:24,1323,永裕,"係因本公司有價證券於集中交易市場達公布注意交易資訊
標準，故公布相關財務業務等重大訊息，以利投資人區別瞭解",mops_1323_20260408_154724_1,,,False,False,topic_06_review,mops_api_t05st01
2026-03-18,14:57:43,1326,台化,本公司114年度自結合併損益與會計師查核差異說明,mops_1326_20260318_145743_1,,,False,False,topic_06_review,mops_api_t05st01
2026-01-09,14:29:47,1337,再生-KY,公告本公司114年12月份自結合併營收,mops_1337_20260109_142947_1,,,True,False,topic_06_review,mops_api_t05st01
2026-02-09,16:09:09,1337,再生-KY,公告本公司115年01月份自結合併營收,mops_1337_20260209_160909_1,,,False,False,topic_06_review,mops_api_t05st01
2026-03-09,16:45:18,1337,再生-KY,公告本公司115年02月份自結合併營收,mops_1337_20260309_164518_1,,,True,False,topic_06_review,mops_api_t05st01
2026-04-09,15:50:43,1337,再生-KY,公告本公司115年03月份自結合併營收,mops_1337_20260409_155043_1,,,True,False,topic_06_review,mops_api_t05st01
2026-05-08,15:55:17,1337,再生-KY,公告本公司115年04月份自結合併營收,mops_1337_20260508_155517_2,,,True,False,topic_06_review,mops_api_t05st01
2026-06-10,16:17:00,1337,再生-KY,公告本公司115年05月份自結合併營收,mops_1337_20260610_161700_1,,,True,False,topic_06_review,mops_api_t05st01
2026-02-05,17:19:35,1454,台富,"(更正事實發生日)
本公司有價證券於集中交易市場達公布注意交易資訊標準
故公布相關財務業務等重大訊息，以利投資人區別瞭解",mops_1454_20260205_171935_1,-0.07,,True,False,topic_06_review,mops_api_t05st01
2026-04-01,23:43:34,1456,怡華,更正114年12月關係人交易申報自結數,mops_1456_20260401_234334_2,,,False,False,topic_06_review,mops_api_t05st01
