event_id,stock_id,announcement_date,issue
mops_1301_20260410_133405_2,1301,2026-04-10,missing_price_file
mops_1303_20260410_133021_2,1303,2026-04-10,missing_price_file
mops_1309_20260324_160859_1,1309,2026-03-24,missing_price_file
mops_1312_20260604_155457_1,1312,2026-06-04,missing_compare_context
mops_1312_20260604_155457_1,1312,2026-06-04,missing_price_file
mops_1326_20260410_133045_2,1326,2026-04-10,missing_price_file
mops_1409_20260602_170411_1,1409,2026-06-02,missing_compare_context
mops_1409_20260602_170411_1,1409,2026-06-02,missing_price_file
mops_1440_20260604_162146_1,1440,2026-06-04,missing_price_file
mops_1441_20260424_151605_1,1441,2026-04-24,missing_price_file
mops_1444_20260604_161454_1,1444,2026-06-04,missing_compare_context
mops_1444_20260604_161454_1,1444,2026-06-04,missing_price_file
mops_1449_20260409_154235_1,1449,2026-04-09,missing_price_file
mops_1454_20260204_151256_1,1454,2026-02-04,missing_price_file
mops_1471_20260127_161918_2,1471,2026-01-27,missing_price_file
mops_1477_20260116_162156_1,1477,2026-01-16,missing_price_file
mopsjson_3026_1150616_152832,3026,2026-06-16,missing_price_file
mopsjson_2105_1150616_155658,2105,2026-06-16,missing_price_file
mopsjson_6834_1150616_155658,6834,2026-06-16,missing_compare_context
mopsjson_6834_1150616_155658,6834,2026-06-16,missing_price_file
mopsjson_2455_1150616_162105,2455,2026-06-16,missing_price_file
mopsjson_3090_1150616_184706,3090,2026-06-16,missing_price_file
