trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-06-01,7721,74.1,80.0,73.6,80.0,1787470,140882004,1527,listed
2026-06-02,7721,79.5,80.0,74.3,75.7,1067636,81715482,1065,listed
2026-06-03,7721,75.9,79.7,75.8,77.5,658981,51245240,548,listed
2026-06-04,7721,76.3,76.5,74.2,76.2,392642,29556425,364,listed
2026-06-05,7721,76.6,79.6,74.8,78.3,927657,72329004,810,listed
2026-06-08,7721,70.9,77.2,70.9,76.7,519282,38236679,487,listed
2026-06-09,7721,78.3,81.8,75.3,81.2,843742,66982426,797,listed
2026-06-10,7721,80.3,82.6,76.0,76.6,872871,69119703,770,listed
2026-06-11,7721,76.1,77.6,75.1,75.8,351151,26739345,350,listed
2026-06-12,7721,79.2,83.0,77.6,81.8,1424914,115380925,1645,listed
2026-06-15,7721,83.2,85.7,81.5,82.3,1234238,103237187,1166,listed
2026-06-16,7721,83.4,84.5,77.5,78.3,776824,61975400,1189,listed
2026-06-17,7721,78.7,78.7,77.0,77.1,280803,21787213,313,listed
2026-06-18,7721,77.9,77.9,75.1,75.1,503279,38301959,748,listed
