trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-06-01,8454,240.0,254.0,236.5,241.5,6217906,1541641576,50848,listed
2026-06-02,8454,237.0,265.5,231.0,265.5,5770329,1466857040,9048,listed
2026-06-03,8454,267.0,292.0,265.0,292.0,6858476,1944767632,22038,listed
2026-06-04,8454,302.0,321.0,300.0,321.0,8086217,2540042444,25977,listed
2026-06-05,8454,333.0,353.0,294.5,353.0,4338756,1465445111,8818,listed
2026-06-08,8454,336.5,388.0,336.5,388.0,3356913,1253548923,8880,listed
2026-06-09,8454,399.0,426.5,399.0,426.5,3503276,1468549987,9369,listed
2026-06-10,8454,416.0,467.0,389.0,449.5,4053663,1801527211,5853,listed
2026-06-11,8454,411.0,425.0,396.0,396.0,2379285,959665660,4334,listed
2026-06-12,8454,396.0,396.0,356.5,356.5,1025750,369579818,2839,listed
2026-06-15,8454,330.0,330.5,321.0,321.0,1787297,585431323,3281,listed
2026-06-16,8454,305.5,321.0,300.0,321.0,2181069,678952271,3537,listed
2026-06-17,8454,321.0,328.0,315.0,315.0,848435,272199760,1838,listed
2026-06-18,8454,321.0,346.5,321.0,341.0,1255820,426315297,2259,listed
