stock_id,company_name,market,industry,security_type,listed_date,isin,quote_date,close,change,volume_shares,valuation_date,pe_ratio,pb_ratio,dividend_yield_pct,chip_date,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares,has_price_file,price_file
2613,中櫃,twse,航運業,股票,1995/01/20,TW0002613007,1150618,21.9,0.05,188908.0,1150618,20.09,0.95,4.57,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2613.csv
2614,東森,twse,其他業,股票,1995/09/23,TW0002614005,1150618,18.85,0.0,1026754.0,1150618,9.24,1.44,6.37,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2614.csv
2615,萬海,twse,航運業,股票,1996/05/16,TW0002615002,1150618,80.4,0.0,9290534.0,1150618,7.42,0.79,3.73,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2615.csv
2616,山隆,twse,油電燃氣業,股票,1997/11/08,TW0002616000,1150618,13.85,0.1,280598.0,1150618,,0.73,2.17,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2616.csv
2617,台航,twse,航運業,股票,1998/06/24,TW0002617008,1150618,29.85,-0.3,985477.0,1150618,9.02,0.68,5.03,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2617.csv
2618,長榮航,twse,航運業,股票,2001/09/17,TW0002618006,1150618,42.55,0.0,65533169.0,1150618,8.07,1.7,4.7,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2618.csv
2630,亞航,twse,航運業,股票,2018/02/22,TW0002630001,1150618,39.9,0.7,635327.0,1150618,42.45,2.47,2.26,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2630.csv
2633,台灣高鐵,twse,航運業,股票,2016/10/27,TW0002633005,1150618,26.15,0.0,18795601.0,1150618,21.61,1.97,4.4,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2633.csv
2634,漢翔,twse,航運業,股票,2014/08/25,TW0002634003,1150618,47.2,0.0,2780692.0,1150618,59.0,2.45,1.65,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2634.csv
2636,台驊控股,twse,航運業,股票,2016/12/22,TW0002636008,1150618,70.2,-0.3,286623.0,1150618,10.28,1.02,7.12,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2636.csv
2637,慧洋-KY,twse,航運業,股票,2010/12/01,KYG9721M1033,1150618,77.4,0.0,5408866.0,1150618,10.89,1.15,4.52,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2637.csv
2640,大車隊,twse,數位雲端,股票,2012/11/07,TW0002640000,,,,,,,,,20260618,-14000.0,0.0,0.0,-14000.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2640.csv
2641,正德,twse,航運業,股票,2014/10/09,TW0002641008,,,,,,,,,20260618,-101000.0,0.0,-4584.0,-105584.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2641.csv
2642,宅配通,twse,航運業,股票,2013/12/12,TW0002642006,1150618,21.05,-0.05,133543.0,1150618,,1.11,2.38,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2642.csv
2643,捷迅,twse,航運業,股票,2016/03/04,TW0002643004,,,,,,,,,20260618,-1000.0,0.0,0.0,-1000.0,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2643.csv
2645,長榮航太,twse,航運業,股票,2023/03/14,TW0002645009,1150618,170.0,2.0,1052269.0,1150618,25.95,5.03,2.94,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2645.csv
2646,星宇航空,twse,航運業,股票,2024/10/25,TW0002646007,1150618,21.25,0.05,7938674.0,1150618,236.11,2.01,,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2646.csv
2701,萬企,twse,觀光餐旅,股票,1965/03/22,TW0002701000,1150618,10.55,0.0,45503.0,1150618,18.51,0.57,2.65,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2701.csv
2702,華園,twse,觀光餐旅,股票,1965/02/14,TW0002702008,1150618,13.0,-0.05,76067.0,1150618,,0.62,,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2702.csv
2704,國賓,twse,觀光餐旅,股票,1982/11/10,TW0002704004,1150618,45.6,-0.5,261976.0,1150618,25.47,0.63,1.1,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2704.csv
2705,六福,twse,觀光餐旅,股票,1988/12/24,TW0002705001,1150618,16.5,0.15,258395.0,1150618,18.54,0.63,,20260618,,,,,True,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\full_market_prices\prices\2705.csv
