parameter_id,month,stock_id,company_name,event_id,announcement_date,announcement_time,entry_date,entry_price,exit_date,exit_price,exit_status,allocation_amount,return_pct,pnl_amount,signal_score,chip_score,chip_date,foreign_net_buy_shares,investment_trust_net_buy_shares,institutional_total_net_buy_shares,exit_rule
top10_rev0_eps0_poseps1_rise1_instany_foreign0_trust0_month_end,2026-06,2493,揚博,mops_2493_20260616_150854_1,2026-06-16,15:08:54,2026-06-17,245.5,2026-06-18,273.5,as_of_latest,500000.0,0.114053,57026.5,15.6813,1.586953,20260616,1150000.0,0.0,1086953.0,month_end
top10_rev0_eps0_poseps1_rise1_instany_foreign0_trust0_month_end,2026-06,8021,尖點,mops_8021_20260616_152535_1,2026-06-16,15:25:35,2026-06-17,524.0,2026-06-18,543.0,as_of_latest,500000.0,0.03626,18130.0,6.1865,1.2541799999999999,20260616,604180.0,-100000.0,754180.0,month_end
