stock_id,company_name,revenue_month,announcement_date,buy_date,mom_positive,yoy_positive,mom_gt_10,mom_gt_20,yoy_gt_20,yoy_gt_30,inst_buy_positive,inst_buy_gt_100k,inst_buy_gt_300k,inst_buy_gt_500k,foreign_buy_positive,foreign_buy_gt_100k,foreign_buy_gt_300k,trust_buy_positive,trust_buy_gt_50k,dealer_buy_positive,avg_volume_5d_gt_100k,avg_volume_5d_gt_300k,avg_volume_5d_gt_1m,prev_vol_ratio_gt_1,prev_vol_ratio_gt_1_5,day1_return_gt_3,day3_return_gt_5,day5_return_gt_10,max_close_10d_gt_20,breakout_20d,breakout_60d,breakout_120d,breakout_240d,return_pct,mom_pct,yoy_pct,institutional_total_net_buy_shares,avg_volume_5d,previous_volume_ratio_20d,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,day1_return_pct,day3_return_pct,day5_return_pct,max_close_10d_return_pct,exit_date
6534,正瀚-創,2026-01,2026-02-10,2026-02-11,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,-0.043787,0.4334,0.005600000000000001,-34000.0,81925.6,1.3643669914727063,-38000.0,0.0,4000.0,0.002366863905325477,-0.02721893491124257,-0.03905325443786979,0.002366863905325477,2026-02-26
8996,高力,2026-01,2026-02-10,2026-06-01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.472222,0.29960000000000003,3.1718,719915.0,,,551624.0,275000.0,-106709.0,-0.027777777777777776,0.037037037037037035,0.12037037037037036,0.23148148148148148,2026-06-18
9934,成霖,2026-01,2026-02-10,2026-06-01,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.042945,0.2104,0.028399999999999998,-19000.0,,,0.0,0.0,-19000.0,0.016359918200409013,0.15030674846625774,0.09918200408997963,0.15030674846625774,2026-06-18
2330,台積電,2026-01,2026-02-10,2026-02-11,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,0.06117,0.1977,0.36810000000000004,12443280.0,36114252.0,1.2529378232107535,12633987.0,240642.0,-431349.0,0.010638297872340425,0.07180851063829788,0.05053191489361702,0.07180851063829788,2026-02-26
9911,櫻花,2026-01,2026-02-10,2026-06-01,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.006098,0.16449999999999998,0.1109,91046.0,,,89000.0,0.0,2046.0,0.007317073170731638,0.020731707317073206,0.024390243902439025,0.039024390243902474,2026-06-18
9908,大台北,2026-01,2026-02-10,2026-06-01,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.011986,0.1445,0.045700000000000005,55000.0,,,50000.0,0.0,5000.0,0.001712328767123312,0.006849315068493127,0.001712328767123312,0.011986301369863063,2026-06-18
9919,康那香,2026-01,2026-02-10,2026-06-01,True,True,True,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.007092,0.1125,0.03,112000.0,,,110000.0,0.0,2000.0,0.0035460992907801925,0.03191489361702135,-0.007092198581560258,0.03191489361702135,2026-06-18
9907,統一實,2026-01,2026-02-10,2026-06-01,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.037267,0.08560000000000001,0.13019999999999998,-864427.0,,,-885000.0,0.0,20573.0,0.015527950310559004,0.04347826086956517,0.021739130434782473,0.04347826086956517,2026-06-18
8150,南茂,2026-01,2026-02-10,2026-06-01,True,True,False,False,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.079646,0.0395,0.3123,747361.0,,,740960.0,0.0,6401.0,-0.12743362831858412,-0.12300884955752217,-0.22831858407079644,-0.05752212389380531,2026-06-18
6790,永豐實,2026-01,2026-02-10,2026-06-01,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.016497,0.015,0.0236,-473032.0,,,142000.0,0.0,-615032.0,0.006345177664974619,0.015228426395939123,-0.0038071065989847357,0.015228426395939123,2026-06-18
