trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-05-04,8422,27.8,28.1,27.75,27.95,5343044,149037367,3777,listed
2026-05-05,8422,28.0,28.7,27.8,28.35,8637145,245064960,4574,listed
2026-05-06,8422,28.7,28.7,27.8,27.85,9948300,278703818,6416,listed
2026-05-07,8422,27.85,28.4,27.15,28.4,16925306,469099054,9433,listed
2026-05-08,8422,28.4,28.6,27.7,27.9,7641789,214413385,4963,listed
2026-05-11,8422,27.75,28.15,27.6,27.95,7448103,207457143,4241,listed
2026-05-12,8422,28.0,28.0,27.5,27.55,7711602,212772271,5610,listed
2026-05-13,8422,27.55,27.55,27.1,27.1,8639103,234785161,5975,listed
2026-05-14,8422,27.1,27.2,26.65,26.7,11165035,299174421,7956,listed
2026-05-15,8422,26.75,26.75,26.05,26.05,12243466,321354967,8028,listed
2026-05-18,8422,25.8,25.95,25.4,25.7,6943038,178674457,5278,listed
2026-05-19,8422,25.95,26.15,25.5,25.55,7805221,201288676,5085,listed
2026-05-20,8422,25.55,25.95,25.4,25.7,6124303,156861808,3927,listed
2026-05-21,8422,25.9,26.4,25.85,26.3,5711749,149644862,3671,listed
2026-05-22,8422,26.5,26.8,26.35,26.8,7159306,190642666,4456,listed
2026-05-25,8422,27.0,27.95,27.0,27.55,12513338,344055390,7010,listed
2026-05-26,8422,28.0,28.45,27.15,27.15,11842845,327969751,6787,listed
2026-05-27,8422,27.5,27.6,27.1,27.3,6946127,189727924,4220,listed
2026-05-28,8422,27.3,27.45,26.6,26.7,8073445,217748801,5581,listed
2026-05-29,8422,27.0,27.3,26.7,26.9,7161633,192915339,4498,listed
2026-06-01,8422,27.0,28.4,27.0,27.7,15510946,430965711,8182,listed
2026-06-02,8422,27.95,27.95,26.75,27.35,14062178,381451831,8095,listed
2026-06-03,8422,27.4,28.3,27.1,28.1,19432395,542486308,8989,listed
2026-06-04,8422,28.55,28.55,27.95,28.25,14090189,398400801,6906,listed
2026-06-05,8422,28.5,28.5,27.75,28.1,11395793,319060795,5235,listed
2026-06-08,8422,26.1,27.2,26.1,26.95,12955716,348432446,6576,listed
2026-06-09,8422,29.3,29.6,29.0,29.6,23215533,686622410,5192,listed
2026-06-10,8422,31.5,31.65,30.1,30.25,91841488,2838137813,40000,listed
2026-06-11,8422,30.4,30.4,28.8,29.25,31527886,924702506,15802,listed
2026-06-12,8422,29.5,29.95,29.0,29.0,14803601,435219800,8130,listed
2026-06-15,8422,29.5,29.5,28.7,28.75,12999388,376565473,6793,listed
2026-06-16,8422,29.0,29.0,28.05,28.05,12345193,348865074,7272,listed
2026-06-17,8422,28.1,28.85,28.05,28.45,8570406,244325298,5216,listed
2026-06-18,8422,28.6,28.6,28.1,28.1,9757045,275719066,5567,listed
