trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-06-01,3059,42.45,46.5,42.45,46.45,23546693,1064128193,14748,listed
2026-06-02,3059,51.0,51.0,50.8,51.0,14608606,745016606,7048,listed
2026-06-03,3059,54.0,54.5,50.2,50.6,45397127,2345075556,27296,listed
2026-06-04,3059,50.1,51.7,48.05,50.8,22028045,1102881076,13710,listed
2026-06-05,3059,51.0,53.5,48.85,48.9,25945120,1320069716,16050,listed
2026-06-08,3059,44.05,46.2,44.05,46.05,9795522,439377087,6113,listed
2026-06-09,3059,46.2,48.15,46.05,46.65,7707346,361648418,6294,listed
2026-06-10,3059,46.0,51.0,45.9,47.0,20002454,979149686,12259,listed
2026-06-11,3059,47.3,47.65,44.2,45.25,10924544,496271507,7104,listed
2026-06-12,3059,46.85,47.7,46.0,46.0,6423637,299981666,4250,listed
2026-06-15,3059,46.8,48.35,46.0,47.5,8602198,408674236,5886,listed
2026-06-16,3059,47.85,49.0,46.6,47.65,8803654,421610626,6392,listed
2026-06-17,3059,48.7,51.5,48.35,50.5,24415849,1232436390,16031,listed
2026-06-18,3059,50.5,50.5,48.75,48.85,13026331,641109248,8549,listed
