trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,8938,69.9,70.3,69.7,70.0,111000,7767000,294,otc
2026-01-05,8938,70.0,70.3,69.3,70.1,273000,19054000,248,otc
2026-01-06,8938,70.2,72.7,70.2,72.6,492000,35332000,521,otc
2026-01-07,8938,72.7,72.9,71.8,72.4,256000,18540000,527,otc
2026-01-08,8938,73.0,73.5,72.6,72.8,229000,16747000,249,otc
2026-01-09,8938,73.0,73.0,70.6,72.9,380000,27312000,675,otc
2026-01-12,8938,72.9,73.5,71.7,71.8,281000,20329000,744,otc
2026-01-13,8938,72.3,72.3,71.0,72.1,307000,21969000,395,otc
2026-01-14,8938,72.3,72.9,72.1,72.6,233000,16905000,322,otc
2026-01-15,8938,72.1,72.9,72.1,72.5,133000,9626000,139,otc
2026-01-16,8938,72.5,73.4,72.5,73.3,291000,21253000,239,otc
2026-01-19,8938,73.7,75.5,73.7,75.2,448000,33466000,417,otc
2026-01-20,8938,75.6,75.6,73.1,73.1,228000,16886000,752,otc
2026-01-21,8938,73.1,73.9,72.2,72.2,204000,14841000,312,otc
2026-01-22,8938,72.6,73.1,72.2,72.9,213000,15520000,218,otc
2026-01-23,8938,73.0,74.2,72.0,72.0,319000,23169000,608,otc
2026-01-26,8938,72.0,72.7,71.2,71.9,497000,35649000,276,otc
2026-01-27,8938,71.9,72.6,71.8,72.3,118000,8523000,172,otc
2026-01-28,8938,72.3,72.9,71.2,71.2,367000,26454000,640,otc
2026-01-29,8938,71.2,71.8,70.7,71.0,141000,10009000,396,otc
2026-01-30,8938,70.8,71.3,70.2,70.7,172000,12188000,189,otc
2026-02-02,8938,70.4,70.7,69.5,70.7,187000,13124000,197,otc
2026-02-03,8938,71.0,72.0,70.2,70.8,280000,19960000,363,otc
2026-02-04,8938,70.8,71.2,70.8,71.0,86000,6079000,108,otc
2026-02-05,8938,71.8,71.8,70.7,70.7,85000,6075000,242,otc
2026-02-06,8938,70.1,70.1,69.1,69.3,134000,9281000,962,otc
2026-02-09,8938,68.4,69.3,67.6,67.6,505000,34504000,1543,otc
2026-02-10,8938,67.3,67.8,67.0,67.6,129000,8728000,226,otc
2026-02-11,8938,67.2,67.9,66.3,67.7,547000,36665000,718,otc
2026-02-23,8938,67.7,68.2,67.3,68.1,105000,7112000,175,otc
2026-02-24,8938,68.4,69.4,68.1,68.1,216000,14839000,165,otc
2026-02-25,8938,68.2,68.2,67.3,67.5,153000,10327000,1109,otc
2026-02-26,8938,67.8,69.6,67.8,68.8,260000,17933000,350,otc
2026-03-02,8938,67.6,68.5,67.6,68.2,134000,9082000,185,otc
2026-03-03,8938,68.5,69.4,67.7,67.7,350000,23965000,696,otc
2026-03-04,8938,68.0,68.2,66.6,67.5,452000,30567000,1097,otc
2026-03-05,8938,68.9,69.5,68.4,69.0,289000,19917000,613,otc
2026-03-06,8938,69.0,69.0,67.7,67.7,601000,40929000,2138,otc
2026-03-09,8938,66.3,66.3,64.8,66.0,395000,25842000,1815,otc
2026-03-10,8938,66.9,68.0,66.8,67.3,238000,16073000,553,otc
2026-03-11,8938,67.5,69.0,67.4,68.8,396000,27039000,297,otc
2026-03-12,8938,69.3,69.3,68.3,68.3,142000,9779000,400,otc
2026-03-13,8938,68.1,68.4,68.0,68.2,343000,23360000,138,otc
2026-03-16,8938,68.3,69.9,68.3,69.3,309000,21445000,185,otc
2026-03-17,8938,69.7,69.7,68.5,68.6,212000,14596000,303,otc
2026-03-18,8938,68.5,68.6,68.1,68.6,134000,9168000,162,otc
2026-03-19,8938,68.5,68.5,66.2,66.2,911000,61163000,786,otc
2026-03-20,8938,66.4,67.2,66.0,67.0,211000,14072000,170,otc
2026-03-23,8938,65.8,67.2,65.8,66.3,176000,11723000,237,otc
2026-03-24,8938,66.9,66.9,65.4,65.6,364000,23979000,379,otc
2026-03-25,8938,66.0,66.2,65.6,65.7,488000,32130000,322,otc
2026-03-26,8938,65.8,66.3,65.3,65.3,665000,43615000,531,otc
2026-03-27,8938,61.3,62.7,60.7,62.4,571000,35363000,394,otc
2026-03-30,8938,61.9,62.5,61.4,61.9,192000,11900000,191,otc
2026-03-31,8938,62.8,62.9,61.5,62.1,280000,17423000,270,otc
2026-04-01,8938,62.1,63.5,61.4,63.2,572000,35522000,319,otc
2026-04-02,8938,63.2,64.5,63.2,63.9,233000,14851000,253,otc
2026-04-07,8938,63.9,63.9,63.0,63.1,102000,6417000,104,otc
2026-04-08,8938,64.0,64.0,62.9,62.9,222000,13995000,299,otc
2026-04-09,8938,62.9,66.2,62.9,64.2,717000,46417000,337,otc
2026-04-10,8938,63.7,63.8,61.7,61.9,798000,49952000,577,otc
2026-04-13,8938,61.9,63.3,61.2,62.0,180000,11188000,150,otc
2026-04-14,8938,62.2,63.8,61.7,63.7,609000,38384000,492,otc
2026-04-15,8938,64.3,64.3,63.4,63.5,291000,18501000,316,otc
2026-04-16,8938,63.5,63.5,62.8,63.2,150000,9498000,299,otc
2026-04-17,8938,62.9,63.6,62.9,63.0,131000,8299000,131,otc
2026-04-20,8938,63.0,63.0,62.2,62.4,316000,19723000,262,otc
2026-04-21,8938,62.5,62.6,61.9,62.4,131000,8160000,132,otc
2026-04-22,8938,62.5,62.5,61.8,62.0,249000,15476000,239,otc
2026-04-23,8938,61.8,61.9,60.8,61.4,239000,14656000,605,otc
2026-04-24,8938,61.7,61.8,58.5,60.1,986000,58832000,669,otc
2026-04-27,8938,59.4,59.4,58.4,58.4,531000,31304000,482,otc
2026-04-28,8938,58.3,59.0,58.3,58.8,134000,7840000,162,otc
2026-04-29,8938,58.8,59.6,58.7,59.6,157000,9296000,135,otc
2026-04-30,8938,59.9,60.0,58.9,58.9,131000,7782000,132,otc
2026-05-04,8938,59.0,59.0,58.3,58.4,355000,20789000,271,otc
2026-05-05,8938,58.4,58.8,58.0,58.3,181000,10530000,187,otc
2026-05-06,8938,58.1,58.1,56.5,56.8,785000,44729000,705,otc
2026-05-07,8938,56.5,56.7,55.4,56.5,577000,32243000,511,otc
2026-05-08,8938,55.9,56.5,55.3,56.0,373000,20783000,357,otc
2026-05-11,8938,55.8,55.8,55.0,55.3,851000,46968000,587,otc
2026-05-12,8938,55.2,55.9,55.0,55.8,264000,14646000,251,otc
2026-05-13,8938,55.3,55.5,55.3,55.3,178000,9876000,287,otc
2026-05-14,8938,55.3,55.6,54.9,55.3,450000,24792000,292,otc
2026-05-15,8938,55.0,55.5,54.7,54.8,314000,17338000,261,otc
2026-05-18,8938,54.5,54.7,53.9,54.4,145000,7880000,145,otc
2026-05-19,8938,54.4,54.8,54.1,54.5,155000,8432000,126,otc
2026-05-20,8938,54.5,54.5,54.0,54.1,125000,6763000,128,otc
2026-05-21,8938,54.1,54.5,54.1,54.1,181000,9815000,203,otc
2026-05-22,8938,54.4,54.4,54.1,54.4,134000,7260000,106,otc
2026-05-25,8938,54.6,54.6,53.7,54.2,352000,19049000,309,otc
2026-05-26,8938,54.2,54.2,53.2,53.5,587000,31502000,450,otc
2026-05-27,8938,53.3,53.3,52.3,52.7,629000,33086000,445,otc
2026-05-28,8938,52.7,53.0,52.3,52.6,246000,12955000,185,otc
2026-05-29,8938,52.4,53.1,52.4,53.1,232000,12259000,190,otc
2026-06-01,8938,53.3,53.3,52.0,52.4,586000,30644000,439,otc
2026-06-02,8938,52.5,52.8,52.1,52.8,161000,8430000,166,otc
2026-06-03,8938,52.7,53.4,52.5,53.3,224000,11837000,248,otc
2026-06-04,8938,52.9,53.5,52.7,53.2,124000,6571000,169,otc
2026-06-05,8938,53.1,53.2,52.7,53.1,140000,7393000,170,otc
2026-06-08,8938,51.7,52.8,51.6,52.7,174000,9099000,168,otc
2026-06-09,8938,53.0,53.1,52.7,52.8,111000,5867000,129,otc
2026-06-10,8938,52.8,53.3,52.7,52.7,184000,9720000,145,otc
2026-06-11,8938,52.7,53.0,52.4,53.0,124000,6529000,114,otc
2026-06-12,8938,53.0,53.3,52.9,53.2,208000,11047000,153,otc
2026-06-15,8938,53.5,53.6,52.9,53.2,147000,7813000,114,otc
2026-06-16,8938,53.2,53.2,52.7,52.7,171000,9034000,161,otc
2026-06-17,8938,53.0,53.2,52.7,53.1,116000,6170000,98,otc
2026-06-18,8938,53.1,53.3,52.9,53.2,220000,11673000,161,otc
