trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,6512,20.7,20.7,20.6,20.6,4000,82000,39,otc
2026-01-05,6512,20.6,20.7,20.5,20.5,12000,254000,37,otc
2026-01-06,6512,20.3,20.5,20.3,20.5,8000,159000,23,otc
2026-01-07,6512,20.4,20.55,20.4,20.55,7000,137000,45,otc
2026-01-08,6512,,,,,1000,16000,22,otc
2026-01-09,6512,20.45,20.45,20.35,20.35,13000,266000,66,otc
2026-01-12,6512,20.4,20.4,20.25,20.25,23000,469000,131,otc
2026-01-13,6512,20.3,20.3,20.25,20.25,16000,317000,45,otc
2026-01-14,6512,20.25,21.05,20.2,21.05,92000,1935000,678,otc
2026-01-15,6512,20.9,21.05,20.8,20.8,25000,526000,178,otc
2026-01-16,6512,21.3,21.3,20.8,21.2,19000,389000,74,otc
2026-01-19,6512,21.2,21.2,20.8,20.8,36000,763000,240,otc
2026-01-20,6512,20.7,20.95,20.6,20.95,27000,567000,177,otc
2026-01-21,6512,20.8,21.0,20.6,21.0,10000,208000,74,otc
2026-01-22,6512,20.8,21.0,20.75,20.8,18000,372000,67,otc
2026-01-23,6512,20.7,20.7,20.35,20.6,8000,160000,61,otc
2026-01-26,6512,20.7,20.7,20.5,20.5,11000,236000,100,otc
2026-01-27,6512,22.0,22.15,20.7,20.7,16000,332000,55,otc
2026-01-28,6512,20.5,20.6,20.3,20.6,14000,292000,73,otc
2026-01-29,6512,,,,,0,10000,18,otc
2026-01-30,6512,20.55,20.55,20.55,20.55,2000,44000,19,otc
2026-02-02,6512,20.3,20.3,19.95,20.05,30000,613000,148,otc
2026-02-03,6512,20.05,20.1,19.95,20.1,11000,228000,71,otc
2026-02-04,6512,20.1,20.1,20.0,20.0,19000,372000,69,otc
2026-02-05,6512,20.05,20.05,20.05,20.05,6000,127000,82,otc
2026-02-06,6512,20.3,20.5,20.0,20.0,9000,188000,33,otc
2026-02-09,6512,20.05,21.2,20.05,20.1,8000,169000,93,otc
2026-02-10,6512,20.1,20.1,20.1,20.1,4000,84000,83,otc
2026-02-11,6512,20.0,20.1,20.0,20.1,6000,114000,87,otc
2026-02-23,6512,20.75,20.75,20.5,20.5,3000,56000,28,otc
2026-02-24,6512,20.5,20.5,20.2,20.35,14000,289000,73,otc
2026-02-25,6512,20.35,20.35,20.35,20.35,7000,146000,31,otc
