trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,3631,23.6,23.75,23.35,23.6,20000,479000,25,otc
2026-01-05,3631,23.5,23.75,22.85,22.9,78000,1794000,74,otc
2026-01-06,3631,23.25,23.3,22.6,22.9,46000,1056000,44,otc
2026-01-07,3631,23.15,23.2,22.55,23.1,45000,1033000,32,otc
2026-01-08,3631,23.35,23.35,22.55,22.9,52000,1184000,42,otc
2026-01-09,3631,23.45,23.45,22.5,23.2,50000,1142000,44,otc
2026-01-12,3631,23.35,23.4,22.8,23.4,81000,1873000,67,otc
2026-01-13,3631,23.2,23.55,23.15,23.45,90000,2100000,69,otc
2026-01-14,3631,23.6,25.75,23.3,24.85,472000,11839000,353,otc
2026-01-15,3631,24.65,25.1,23.8,24.55,160000,3913000,121,otc
2026-01-16,3631,24.7,24.8,24.4,24.55,72000,1768000,66,otc
2026-01-19,3631,24.7,27.0,24.65,26.05,349000,9197000,530,otc
2026-01-20,3631,25.9,28.35,25.85,28.3,537000,14687000,440,otc
2026-01-21,3631,28.75,29.7,28.3,29.7,483000,14043000,475,otc
2026-01-22,3631,29.95,30.2,29.0,29.15,312000,9195000,300,otc
2026-01-23,3631,29.35,30.9,29.2,29.85,380000,11377000,303,otc
2026-01-26,3631,29.8,30.0,29.25,29.65,127000,3752000,106,otc
2026-01-27,3631,29.85,29.9,28.4,29.5,271000,7919000,317,otc
2026-01-28,3631,29.45,29.95,28.3,28.3,412000,12087000,272,otc
2026-01-29,3631,28.75,28.75,26.85,26.85,227000,6201000,163,otc
2026-01-30,3631,26.85,29.5,26.85,28.2,469000,13296000,443,otc
2026-02-02,3631,27.9,28.65,27.15,28.1,151000,4228000,145,otc
2026-02-03,3631,28.2,28.9,27.35,28.25,169000,4724000,179,otc
2026-02-04,3631,28.5,29.2,28.15,29.05,172000,4956000,122,otc
2026-02-05,3631,29.0,29.15,28.2,28.95,66000,1887000,61,otc
2026-02-06,3631,28.5,28.5,27.5,27.7,111000,3097000,106,otc
2026-02-09,3631,28.45,29.15,28.45,29.1,193000,5567000,163,otc
2026-02-10,3631,29.1,29.5,28.1,28.4,192000,5482000,195,otc
2026-02-11,3631,28.65,28.75,27.6,28.5,204000,5761000,171,otc
2026-02-23,3631,29.0,29.7,28.85,29.35,222000,6497000,151,otc
2026-02-24,3631,29.2,29.4,28.8,29.1,113000,3276000,114,otc
2026-02-25,3631,29.35,29.5,28.95,29.3,146000,4268000,103,otc
2026-02-26,3631,29.4,29.45,29.0,29.35,36000,1064000,35,otc
2026-03-02,3631,28.7,29.35,28.6,29.35,91000,2630000,58,otc
2026-03-03,3631,29.55,29.55,28.1,28.4,125000,3573000,108,otc
2026-03-04,3631,27.5,28.5,27.15,27.65,98000,2715000,79,otc
2026-03-05,3631,27.8,28.7,27.2,28.05,69000,1931000,57,otc
2026-03-06,3631,28.35,28.35,27.55,28.05,88000,2450000,70,otc
2026-03-09,3631,27.15,27.5,26.1,26.95,76000,2019000,80,otc
2026-03-10,3631,27.05,27.7,26.55,27.2,46000,1237000,39,otc
2026-03-11,3631,27.35,27.6,27.25,27.55,37000,1015000,32,otc
2026-03-12,3631,27.5,27.55,26.7,26.85,71000,1903000,67,otc
2026-03-13,3631,26.85,26.85,26.6,26.85,41000,1098000,41,otc
2026-03-16,3631,27.2,27.2,26.6,26.85,66000,1771000,65,otc
2026-03-17,3631,27.25,27.25,26.55,27.0,102000,2733000,83,otc
2026-03-18,3631,27.1,27.1,26.4,26.55,82000,2189000,71,otc
2026-03-19,3631,26.7,29.2,26.7,28.6,588000,16991000,398,otc
2026-03-20,3631,29.0,30.75,28.75,30.5,556000,16504000,376,otc
2026-03-23,3631,30.0,30.3,29.0,29.85,237000,7012000,184,otc
2026-03-24,3631,30.3,30.4,28.15,28.6,190000,5506000,154,otc
2026-03-25,3631,28.7,29.25,28.6,29.1,54000,1558000,44,otc
2026-03-26,3631,29.05,29.25,28.5,28.95,44000,1267000,40,otc
