trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-06-01,8466,16.5,16.6,16.0,16.2,88700,1435376,103,listed
2026-06-02,8466,16.35,16.5,16.0,16.1,66482,1072278,52,listed
2026-06-03,8466,16.1,16.4,16.0,16.25,80421,1298093,58,listed
2026-06-04,8466,16.25,16.45,16.1,16.45,67187,1089987,45,listed
2026-06-05,8466,16.45,16.65,16.2,16.4,25120,410066,29,listed
2026-06-08,8466,14.9,15.8,14.9,15.6,51548,783914,49,listed
2026-06-09,8466,15.45,15.7,15.3,15.55,29428,456137,45,listed
2026-06-10,8466,15.6,15.9,15.35,15.45,109136,1707071,80,listed
2026-06-11,8466,16.15,16.3,15.6,16.0,128655,2051610,106,listed
2026-06-12,8466,16.3,16.3,16.0,16.1,54173,875966,44,listed
2026-06-15,8466,16.25,16.5,16.1,16.2,56321,916356,58,listed
2026-06-16,8466,16.3,16.3,15.95,16.0,42300,682070,37,listed
2026-06-17,8466,16.0,16.15,15.85,15.9,39189,626563,29,listed
2026-06-18,8466,15.9,15.9,15.5,15.55,82971,1300648,98,listed
