trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-05-04,6208,81.6,83.9,81.3,82.3,617000,50802000,597,otc
2026-05-05,6208,83.0,83.6,80.8,83.3,559000,46180000,555,otc
2026-05-06,6208,83.3,84.6,75.0,75.2,2033000,159861000,8000,otc
2026-05-07,6208,77.3,77.5,75.0,76.5,831000,63199000,1743,otc
2026-05-08,6208,75.4,76.0,72.2,72.4,854000,62810000,2233,otc
2026-05-11,6208,74.1,79.4,74.1,78.7,1079000,83590000,2041,otc
2026-05-12,6208,86.5,86.5,86.5,86.5,1285000,111113000,819,otc
2026-05-13,6208,95.1,95.1,95.1,95.1,1338000,127278000,909,otc
2026-05-14,6208,104.5,104.5,98.7,104.5,10018000,1033295000,10199,otc
2026-05-15,6208,106.0,108.5,97.5,99.8,7371000,763542000,7901,otc
2026-05-18,6208,97.5,97.9,90.9,94.6,2178000,205831000,8946,otc
2026-05-19,6208,93.0,104.0,93.0,103.5,6673000,686901000,11663,otc
2026-05-20,6208,100.0,101.5,93.8,93.8,3694000,359270000,19290,otc
2026-05-21,6208,96.3,103.0,96.1,102.0,2837000,282505000,5985,otc
2026-05-22,6208,103.0,104.0,98.6,99.0,3050000,307375000,13201,otc
2026-05-25,6208,99.8,103.0,99.1,100.0,1864000,187783000,1624,otc
2026-05-26,6208,103.0,103.0,96.6,97.8,1691000,166246000,1660,otc
2026-05-27,6208,99.1,99.1,93.0,93.0,1642000,156408000,2173,otc
2026-05-28,6208,93.7,96.2,91.7,93.1,1272000,119434000,1213,otc
2026-05-29,6208,95.8,97.6,93.8,95.1,1046000,99892000,1061,otc
2026-06-01,6208,96.1,96.4,92.7,92.8,1149000,108041000,1242,otc
2026-06-02,6208,93.9,93.9,89.9,91.5,961000,87957000,937,otc
2026-06-03,6208,92.8,92.8,90.0,90.6,742000,67163000,1083,otc
2026-06-04,6208,90.6,90.6,85.7,86.7,1031000,89820000,1135,otc
2026-06-05,6208,86.7,86.7,81.4,83.5,813000,67737000,899,otc
2026-06-08,6208,75.5,80.4,75.5,79.7,800000,62412000,801,otc
2026-06-09,6208,82.3,85.7,81.2,84.3,630000,52629000,662,otc
2026-06-10,6208,81.7,83.3,78.6,78.6,695000,56370000,778,otc
2026-06-11,6208,78.5,79.7,76.6,79.0,452000,35387000,477,otc
2026-06-12,6208,82.8,86.9,79.8,86.9,815000,68787000,739,otc
2026-06-15,6208,92.7,94.3,88.3,93.2,3233000,298090000,2383,otc
2026-06-16,6208,92.5,92.5,86.1,86.3,1267000,113178000,4509,otc
2026-06-17,6208,86.2,91.8,84.6,91.8,1149000,102351000,1187,otc
2026-06-18,6208,94.0,99.4,93.1,99.0,5948000,577032000,5018,otc
