trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-06-01,1721,28.5,29.0,28.1,28.1,2992598,85351086,1973,listed
2026-06-02,1721,28.05,28.05,27.0,27.35,3680948,100747926,2819,listed
2026-06-03,1721,26.9,28.2,26.5,27.5,3166069,87280799,1940,listed
2026-06-04,1721,27.7,29.15,27.6,27.65,2892173,81815407,2043,listed
2026-06-05,1721,27.5,28.0,26.25,26.8,2274014,61207876,1565,listed
2026-06-08,1721,24.25,25.4,24.15,25.15,2126290,52303193,1341,listed
2026-06-09,1721,25.15,25.8,24.65,25.15,1905240,47863232,1318,listed
2026-06-10,1721,24.9,25.3,23.45,23.5,2394560,58158033,1728,listed
2026-06-11,1721,23.15,23.4,21.95,22.6,2599933,58604758,1535,listed
2026-06-12,1721,23.2,23.6,23.0,23.1,1131048,26324644,804,listed
2026-06-15,1721,23.6,24.0,23.4,23.4,1240181,29321758,894,listed
2026-06-16,1721,23.6,24.2,22.85,22.85,1470108,34524578,979,listed
2026-06-17,1721,22.35,24.2,22.35,23.5,1602874,37574216,946,listed
2026-06-18,1721,24.3,24.95,23.6,23.8,2141260,51876816,1278,listed
