trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-06-01,6218,39.05,39.5,38.3,38.35,1344000,51989000,2875,otc
2026-06-02,6218,38.4,38.85,37.2,37.7,922000,34904000,1871,otc
2026-06-03,6218,38.1,38.7,37.25,38.2,920000,35013000,1255,otc
2026-06-04,6218,38.4,38.5,36.85,36.9,586000,21914000,1689,otc
2026-06-05,6218,37.15,37.25,36.0,36.8,471000,17238000,1177,otc
2026-06-08,6218,33.15,34.05,33.15,33.4,1039000,34593000,1602,otc
2026-06-09,6218,33.8,34.05,33.0,33.05,805000,26865000,1448,otc
2026-06-10,6218,33.05,35.4,32.3,32.75,888000,29914000,1893,otc
2026-06-11,6218,32.5,32.9,30.75,31.6,613000,19402000,854,otc
2026-06-12,6218,32.75,32.75,31.65,31.8,376000,12062000,377,otc
2026-06-15,6218,32.3,34.95,32.2,34.95,687000,23454000,720,otc
2026-06-16,6218,37.0,37.0,35.05,35.3,1740000,63094000,1928,otc
2026-06-17,6218,35.3,36.2,34.45,34.7,761000,26828000,1098,otc
2026-06-18,6218,35.3,36.25,34.7,35.15,655000,23160000,847,otc
