trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,8424,,,,,0,5000,3,otc
2026-01-05,8424,73.4,73.6,73.4,73.6,4000,296000,7,otc
2026-01-06,8424,73.5,73.5,72.0,73.2,14000,1048000,22,otc
2026-01-07,8424,73.2,73.3,73.2,73.3,7000,513000,5,otc
2026-01-08,8424,72.6,73.3,72.6,73.3,3000,228000,10,otc
2026-01-09,8424,73.4,73.5,73.4,73.5,5000,382000,10,otc
2026-01-12,8424,73.7,73.7,73.5,73.5,8000,613000,13,otc
2026-01-13,8424,73.6,73.6,72.5,73.4,30000,2197000,28,otc
2026-01-14,8424,73.5,73.6,73.5,73.6,5000,373000,6,otc
2026-01-15,8424,73.6,73.6,73.5,73.5,6000,467000,13,otc
2026-01-16,8424,73.5,73.5,73.5,73.5,3000,254000,5,otc
2026-01-19,8424,73.3,73.5,73.3,73.4,12000,911000,17,otc
2026-01-20,8424,73.5,73.5,73.4,73.4,8000,590000,11,otc
2026-01-21,8424,73.4,73.4,73.4,73.4,1000,75000,2,otc
2026-01-22,8424,73.2,73.4,73.2,73.4,23000,1703000,32,otc
2026-01-23,8424,73.5,73.5,72.9,73.2,16000,1172000,16,otc
2026-01-26,8424,72.9,73.1,72.8,72.8,19000,1394000,23,otc
2026-01-27,8424,72.8,72.9,72.8,72.9,8000,613000,18,otc
2026-01-28,8424,72.9,73.1,72.9,73.1,5000,399000,11,otc
2026-01-29,8424,72.8,73.0,72.8,73.0,5000,387000,14,otc
2026-01-30,8424,72.9,72.9,72.8,72.8,3000,219000,3,otc
2026-02-02,8424,72.6,72.9,70.3,72.9,19000,1398000,24,otc
2026-02-03,8424,72.4,73.0,72.4,72.9,6000,436000,6,otc
2026-02-04,8424,72.9,72.9,72.8,72.8,4000,325000,13,otc
2026-02-05,8424,72.6,73.5,72.6,73.5,2000,146000,4,otc
2026-02-06,8424,72.8,73.3,72.6,73.3,7000,482000,24,otc
2026-02-09,8424,73.2,73.3,73.1,73.1,4000,322000,10,otc
2026-02-10,8424,73.0,73.2,72.9,73.1,8000,559000,13,otc
2026-02-11,8424,73.1,73.3,73.1,73.1,6000,463000,12,otc
2026-02-23,8424,73.6,73.8,73.5,73.5,33000,2449000,30,otc
2026-02-24,8424,73.2,74.2,73.2,74.2,15000,1110000,16,otc
2026-02-25,8424,74.1,74.2,74.0,74.2,15000,1129000,23,otc
2026-02-26,8424,76.3,76.3,74.5,75.1,53000,3954000,72,otc
2026-03-02,8424,75.1,76.3,75.1,76.3,41000,3109000,85,otc
2026-03-03,8424,76.6,76.6,76.1,76.3,27000,2050000,61,otc
2026-03-04,8424,76.0,76.3,75.6,75.6,29000,2191000,52,otc
2026-03-05,8424,76.0,76.0,75.7,75.9,21000,1606000,69,otc
2026-03-06,8424,75.6,75.9,75.0,75.7,33000,2507000,48,otc
2026-03-09,8424,75.1,75.2,75.0,75.1,28000,2108000,25,otc
2026-03-10,8424,75.3,75.8,75.1,75.2,14000,1065000,18,otc
2026-03-11,8424,74.8,75.3,74.6,75.3,5000,383000,11,otc
2026-03-12,8424,75.3,75.5,75.3,75.5,10000,770000,11,otc
2026-03-13,8424,75.3,75.3,74.9,74.9,34000,2579000,24,otc
2026-03-16,8424,75.3,75.3,74.6,74.6,5000,379000,8,otc
2026-03-17,8424,74.4,75.0,74.4,74.8,25000,1887000,21,otc
2026-03-18,8424,74.8,74.9,74.5,74.5,27000,2019000,21,otc
2026-03-19,8424,74.4,74.5,74.4,74.5,7000,486000,10,otc
2026-03-20,8424,74.5,74.5,74.5,74.5,9000,671000,7,otc
2026-03-23,8424,74.5,74.5,74.3,74.3,14000,1042000,14,otc
2026-03-24,8424,74.3,74.8,74.3,74.5,7000,522000,5,otc
2026-03-25,8424,74.7,74.8,74.4,74.5,14000,1047000,18,otc
2026-03-26,8424,74.5,74.6,74.5,74.5,6000,463000,11,otc
2026-03-27,8424,74.5,74.5,74.5,74.5,7000,522000,9,otc
2026-03-30,8424,74.1,74.5,74.0,74.3,19000,1409000,16,otc
2026-03-31,8424,,,,,0,1000,1,otc
2026-04-01,8424,74.6,74.6,74.2,74.3,22000,1650000,21,otc
2026-04-02,8424,74.2,74.2,74.2,74.2,1000,74000,1,otc
2026-04-07,8424,74.4,74.5,74.3,74.4,8000,605000,10,otc
2026-04-08,8424,74.4,74.9,74.4,74.5,12000,895000,13,otc
2026-04-09,8424,75.0,75.0,74.4,74.4,13000,969000,12,otc
2026-04-10,8424,74.5,74.5,74.3,74.3,7000,535000,14,otc
2026-04-13,8424,74.0,74.3,74.0,74.2,15000,1111000,12,otc
2026-04-14,8424,74.2,74.5,74.1,74.5,10000,747000,14,otc
2026-04-15,8424,74.3,74.4,74.2,74.2,11000,824000,12,otc
2026-04-16,8424,74.2,74.3,74.2,74.3,9000,692000,11,otc
2026-04-17,8424,74.5,74.7,74.5,74.7,7000,522000,5,otc
2026-04-20,8424,74.5,74.7,74.0,74.7,11000,818000,11,otc
2026-04-21,8424,74.2,74.4,74.2,74.4,3000,225000,6,otc
2026-04-22,8424,74.3,74.3,74.2,74.3,12000,857000,12,otc
2026-04-23,8424,74.4,74.5,74.1,74.3,19000,1413000,15,otc
2026-04-24,8424,74.3,74.4,74.3,74.4,3000,231000,12,otc
2026-04-27,8424,74.3,75.0,74.2,74.4,12000,893000,11,otc
2026-04-28,8424,,,,,1000,42000,2,otc
2026-04-29,8424,74.4,74.9,74.3,74.4,15000,1128000,13,otc
2026-04-30,8424,74.5,74.6,74.4,74.4,3000,224000,3,otc
2026-05-04,8424,74.3,74.3,73.3,74.3,17000,1268000,20,otc
2026-05-05,8424,,,,,0,12000,5,otc
2026-05-06,8424,74.2,74.3,74.0,74.2,20000,1507000,20,otc
2026-05-07,8424,74.3,74.4,74.0,74.2,16000,1189000,17,otc
2026-05-08,8424,74.2,74.2,73.4,74.1,41000,3063000,38,otc
2026-05-11,8424,73.4,74.2,73.4,74.0,13000,984000,13,otc
2026-05-12,8424,74.5,74.5,73.4,73.7,41000,3044000,42,otc
2026-05-13,8424,73.7,73.7,73.4,73.5,15000,1102000,7,otc
2026-05-14,8424,73.2,73.3,73.0,73.0,43000,3114000,52,otc
2026-05-15,8424,73.4,73.4,73.2,73.2,5000,343000,13,otc
2026-05-18,8424,73.1,73.2,72.8,73.2,35000,2534000,82,otc
2026-05-19,8424,72.7,73.2,72.5,73.2,4000,304000,7,otc
2026-05-20,8424,73.2,73.2,72.8,73.2,15000,1107000,12,otc
2026-05-21,8424,73.2,74.0,72.8,73.0,50000,3635000,47,otc
2026-05-22,8424,72.9,74.0,72.8,73.0,44000,3205000,45,otc
2026-05-25,8424,73.0,73.0,72.8,73.0,22000,1577000,38,otc
2026-05-26,8424,72.5,73.0,72.0,72.6,39000,2872000,41,otc
2026-05-27,8424,73.0,73.0,72.9,73.0,22000,1629000,25,otc
