trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,4973,38.85,40.45,38.35,39.65,3317000,131848000,2867,otc
2026-01-05,4973,41.9,42.5,38.7,38.7,4542000,183489000,4811,otc
2026-01-06,4973,38.9,40.55,38.55,40.1,3792000,150500000,3169,otc
2026-01-07,4973,41.5,44.1,41.35,44.1,12551000,547894000,10660,otc
2026-01-08,4973,44.9,48.5,44.55,48.5,12487000,591613000,6832,otc
2026-01-09,4973,51.3,53.3,44.55,49.05,31220000,1541925000,19571,otc
2026-01-12,4973,49.5,52.9,48.3,49.0,14292000,721954000,9432,otc
2026-01-13,4973,49.25,53.4,49.05,49.8,15867000,810520000,11315,otc
2026-01-14,4973,50.1,50.2,48.05,48.5,4966000,242800000,6111,otc
2026-01-15,4973,48.0,49.4,46.7,48.2,4866000,233428000,3897,otc
2026-01-16,4973,49.0,53.0,48.8,53.0,12942000,663789000,9383,otc
2026-01-19,4973,56.7,58.3,56.2,58.3,3356000,192922000,1485,otc
2026-01-20,4973,54.5,57.0,53.8,55.9,12418000,685969000,10819,otc
2026-01-21,4973,56.9,58.8,52.2,53.8,9849000,542959000,7217,otc
2026-01-22,4973,56.0,56.8,52.0,52.0,6130000,334614000,4902,otc
2026-01-23,4973,52.5,52.7,49.05,49.7,4892000,246244000,4061,otc
2026-01-26,4973,50.6,52.8,50.1,51.6,4683000,241541000,3956,otc
2026-01-27,4973,51.5,51.5,48.85,49.3,3456000,172277000,3515,otc
2026-01-28,4973,50.2,51.7,49.95,50.3,3747000,190362000,2878,otc
2026-01-29,4973,51.9,53.0,49.5,51.0,6976000,356792000,4907,otc
2026-01-30,4973,50.1,53.8,49.9,51.7,7080000,366960000,5016,otc
2026-02-02,4973,50.1,50.2,46.55,46.55,3589000,169950000,3049,otc
2026-02-03,4973,47.5,48.45,43.8,45.3,4744000,218057000,3441,otc
2026-02-04,4973,45.25,46.15,44.05,45.45,2333000,105930000,1827,otc
2026-02-05,4973,44.4,45.1,43.0,43.25,1824000,79933000,1721,otc
2026-02-06,4973,42.35,42.9,41.05,41.75,1904000,79731000,1237,otc
2026-02-09,4973,45.9,45.9,45.9,45.9,917000,42100000,499,otc
2026-02-10,4973,47.5,47.5,43.1,43.9,3618000,161415000,2653,otc
2026-02-11,4973,43.6,45.95,43.6,45.85,2201000,99523000,1819,otc
2026-02-23,4973,47.7,47.95,46.2,46.4,1925000,90554000,2055,otc
2026-02-24,4973,46.05,47.75,45.8,47.55,2107000,99279000,1889,otc
2026-02-25,4973,47.6,47.85,45.5,46.35,1673000,77689000,1970,otc
2026-02-26,4973,46.0,46.55,45.5,46.0,1224000,56277000,1124,otc
2026-03-02,4973,43.8,46.7,43.4,46.55,1240000,56411000,1097,otc
2026-03-03,4973,46.2,46.65,42.65,43.15,1791000,78694000,1858,otc
2026-03-04,4973,41.5,42.25,39.8,40.5,1581000,64691000,1213,otc
2026-03-05,4973,42.85,43.5,41.9,42.75,914000,39039000,840,otc
2026-03-06,4973,42.25,43.1,41.85,41.9,658000,27836000,654,otc
2026-03-09,4973,42.5,46.05,42.05,46.05,6720000,305369000,4619,otc
2026-03-10,4973,49.45,50.6,49.25,50.6,4964000,249602000,2227,otc
2026-03-11,4973,55.6,55.6,55.5,55.6,3299000,183415000,1509,otc
2026-03-12,4973,57.0,61.1,56.5,61.1,20462000,1205484000,13364,otc
2026-03-13,4973,60.0,67.2,59.7,67.2,20909000,1339230000,13413,otc
2026-03-16,4973,71.9,73.9,69.6,73.9,19814000,1439315000,14557,otc
2026-03-17,4973,80.7,81.2,80.7,81.2,2383000,192828000,1731,otc
2026-03-18,4973,89.3,89.3,89.3,89.3,777000,69356000,703,otc
2026-03-19,4973,97.1,98.2,89.9,98.2,7562000,729520000,6078,otc
2026-03-20,4973,98.2,98.2,88.4,88.4,2669000,240197000,2632,otc
2026-03-23,4973,79.6,79.6,79.6,79.6,932000,74189000,1172,otc
2026-03-24,4973,81.8,81.8,71.7,71.7,1344000,98006000,1363,otc
2026-03-25,4973,71.7,71.7,67.0,70.9,1951000,135460000,1418,otc
2026-03-26,4973,68.9,70.0,64.0,64.1,1703000,112959000,1590,otc
2026-03-27,4973,59.2,61.2,57.7,61.2,1932000,113884000,1576,otc
2026-03-30,4973,61.1,67.3,61.1,67.3,1181000,77742000,937,otc
2026-03-31,4973,62.8,66.6,61.5,61.8,1020000,64486000,1021,otc
2026-04-01,4973,65.5,67.9,65.0,67.9,1045000,69325000,879,otc
2026-04-02,4973,70.7,70.7,67.5,68.0,736000,50452000,691,otc
2026-04-07,4973,74.2,74.8,68.2,69.3,7138000,509558000,5697,otc
2026-04-08,4973,74.3,76.2,70.6,76.2,7823000,576332000,5934,otc
2026-04-09,4973,75.2,76.2,70.1,71.3,7738000,561110000,6890,otc
2026-04-10,4973,74.5,78.4,74.1,78.3,12176000,939394000,10695,otc
2026-04-13,4973,78.0,85.3,77.2,79.8,7631000,618988000,7012,otc
2026-04-14,4973,83.9,84.3,79.1,79.8,6413000,524206000,5706,otc
2026-04-15,4973,81.6,82.2,77.6,78.1,4163000,330070000,4599,otc
2026-04-16,4973,76.9,79.7,75.6,76.8,2957000,228452000,3407,otc
2026-04-17,4973,77.9,80.4,76.9,77.6,3567000,280259000,3254,otc
2026-04-20,4973,79.0,82.1,77.2,79.4,4418000,350756000,4873,otc
2026-04-21,4973,80.1,87.3,80.0,87.3,9790000,838169000,8934,otc
2026-04-22,4973,91.2,93.2,87.7,90.2,14387000,1302505000,15481,otc
2026-04-23,4973,92.1,93.3,81.2,82.4,9425000,806489000,7883,otc
2026-04-24,4973,83.2,83.5,77.1,80.1,4763000,381072000,3997,otc
2026-04-27,4973,81.2,88.1,80.6,88.1,9243000,789320000,6327,otc
2026-04-28,4973,88.6,93.3,88.6,91.6,20452000,1856874000,17486,otc
2026-04-29,4973,88.8,90.7,87.1,87.3,5521000,489791000,5039,otc
2026-04-30,4973,88.1,88.9,82.1,83.1,5348000,451736000,7501,otc
2026-05-04,4973,84.8,86.5,83.3,85.4,3456000,294708000,3045,otc
2026-05-05,4973,86.3,88.4,84.3,87.7,3603000,313139000,4748,otc
2026-05-06,4973,92.5,96.4,91.7,91.7,12274000,1154691000,11725,otc
2026-05-07,4973,94.0,100.5,90.5,95.5,9671000,923634000,11097,otc
2026-05-08,4973,94.2,105.0,93.0,99.6,15887000,1601089000,11580,otc
2026-05-11,4973,106.0,109.5,106.0,109.5,5391000,586363000,2779,otc
2026-05-12,4973,115.5,120.0,114.5,120.0,12716000,1498134000,9277,otc
2026-05-13,4973,119.5,121.5,112.0,118.5,9489000,1098495000,7596,otc
2026-05-14,4973,122.0,129.0,116.0,116.5,11219000,1350066000,8925,otc
2026-05-15,4973,119.0,121.5,114.0,117.0,7543000,885001000,5850,otc
2026-05-18,4973,115.0,120.5,111.5,120.5,4848000,565752000,4079,otc
2026-05-19,4973,118.0,118.0,109.5,110.0,6011000,680140000,5702,otc
2026-05-20,4973,110.0,111.0,104.0,109.0,3936000,425819000,3276,otc
2026-05-21,4973,114.0,114.5,107.5,108.0,3978000,438187000,4236,otc
2026-05-22,4973,109.5,118.0,108.5,115.0,6161000,702979000,5278,otc
2026-05-25,4973,118.0,119.5,113.5,118.0,6729000,787521000,5451,otc
2026-05-26,4973,119.5,129.5,117.5,126.5,12513000,1564615000,9135,otc
2026-05-27,4973,139.0,139.0,138.5,139.0,2777000,385945000,1817,otc
2026-05-28,4973,152.5,152.5,146.5,152.5,8788000,1334770000,5573,otc
2026-05-29,4973,165.0,165.0,151.5,160.0,14062000,2243197000,11725,otc
2026-06-01,4973,158.0,167.0,155.5,156.5,10457000,1667901000,8990,otc
2026-06-02,4973,154.0,159.0,153.0,156.5,2420000,375315000,2572,otc
2026-06-03,4973,172.0,172.0,166.0,172.0,5204000,887821000,5081,otc
2026-06-04,4973,171.0,178.5,171.0,176.0,2980000,521317000,3234,otc
2026-06-05,4973,173.5,173.5,160.0,171.5,2701000,453947000,3028,otc
2026-06-08,4973,154.5,162.0,154.5,160.0,2084000,328613000,2293,otc
2026-06-09,4973,166.5,176.0,166.0,176.0,2102000,359408000,2467,otc
2026-06-10,4973,186.5,193.5,186.5,193.0,4799000,916067000,5857,otc
2026-06-11,4973,191.5,194.0,175.0,191.5,3670000,679645000,4091,otc
2026-06-12,4973,198.5,199.0,191.0,191.0,2228000,432703000,2638,otc
2026-06-15,4973,195.5,210.0,192.5,210.0,3156000,633879000,3631,otc
2026-06-16,4973,210.0,219.0,189.0,189.5,9724000,1932689000,11154,otc
2026-06-17,4973,185.0,191.5,180.5,191.5,4305000,805312000,5855,otc
2026-06-18,4973,192.5,197.5,188.0,193.5,3985000,764116000,7152,otc
