trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,4533,21.9,22.65,21.9,22.3,827000,18532000,565,otc
2026-01-05,4533,22.75,22.75,21.1,21.25,1283000,27591000,981,otc
2026-01-06,4533,21.6,22.0,21.5,21.55,529000,11477000,417,otc
2026-01-07,4533,21.6,22.6,21.6,22.0,1168000,25886000,632,otc
2026-01-08,4533,22.9,23.0,22.25,22.35,1145000,25833000,821,otc
2026-01-09,4533,22.65,22.7,21.7,22.2,480000,10660000,414,otc
2026-01-12,4533,22.3,22.7,22.2,22.65,1414000,31825000,714,otc
2026-01-13,4533,23.1,23.2,22.45,22.85,1099000,25034000,693,otc
2026-01-14,4533,23.0,25.1,22.85,25.1,6123000,150458000,2855,otc
2026-01-15,4533,26.75,27.6,26.0,27.6,14845000,399532000,8832,otc
2026-01-16,4533,27.8,30.35,27.75,30.35,15624000,460506000,7206,otc
2026-01-19,4533,31.1,31.5,29.05,30.0,28411000,862441000,14765,otc
2026-01-20,4533,29.7,30.0,29.05,29.25,5275000,154964000,3344,otc
2026-01-21,4533,29.4,32.15,29.4,32.15,10622000,334231000,4927,otc
2026-01-22,4533,31.7,35.35,31.5,35.35,48392000,1640815000,20613,otc
2026-01-23,4533,35.35,36.15,32.5,35.0,30952000,1072502000,15031,otc
2026-01-26,4533,35.7,38.2,34.25,36.7,23458000,862862000,13142,otc
2026-01-27,4533,36.7,39.8,36.6,38.0,18313000,700883000,11467,otc
2026-01-28,4533,41.0,41.8,40.0,41.25,41882000,1728811000,23450,otc
2026-01-29,4533,40.9,41.85,37.85,38.7,26834000,1056006000,14647,otc
2026-01-30,4533,38.7,38.95,36.5,36.8,13141000,490730000,6478,otc
2026-02-02,4533,36.1,38.55,35.45,36.85,12474000,462399000,8118,otc
2026-02-03,4533,38.0,38.15,35.8,35.9,9774000,360717000,5553,otc
2026-02-04,4533,35.7,36.9,35.2,36.25,5395000,195168000,3282,otc
2026-02-05,4533,35.45,35.5,33.85,33.85,5875000,202509000,4130,otc
2026-02-06,4533,33.55,33.85,32.3,32.85,2989000,98680000,2018,otc
2026-02-09,4533,33.65,34.0,32.2,32.3,3552000,116453000,2549,otc
2026-02-10,4533,32.2,32.7,30.8,31.25,3568000,111895000,2450,otc
2026-02-11,4533,31.4,31.5,30.7,31.05,1724000,53414000,1303,otc
2026-02-23,4533,31.65,33.7,30.5,32.85,4261000,137779000,2877,otc
2026-02-24,4533,32.9,35.0,32.5,34.75,12349000,423645000,7470,otc
2026-02-25,4533,34.25,34.35,33.0,33.0,3968000,132578000,3087,otc
2026-02-26,4533,32.85,33.6,32.05,32.95,2690000,88384000,2000,otc
2026-03-02,4533,31.3,32.75,31.25,32.0,2089000,67058000,1658,otc
2026-03-03,4533,32.3,35.2,32.0,35.2,13283000,459871000,8152,otc
