trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,2754,84.0,87.0,84.0,85.0,17000,1451000,33,otc
2026-01-05,2754,87.9,87.9,84.6,85.2,17000,1407000,36,otc
2026-01-06,2754,86.4,86.4,83.0,84.8,20000,1707000,76,otc
2026-01-07,2754,85.8,85.8,83.4,84.2,28000,2381000,43,otc
2026-01-08,2754,84.2,84.9,83.9,84.1,14000,1194000,25,otc
2026-01-09,2754,83.8,84.1,83.8,84.1,18000,1542000,39,otc
2026-01-12,2754,85.5,85.5,83.5,84.0,16000,1359000,20,otc
2026-01-13,2754,83.3,83.7,82.0,82.6,38000,3104000,91,otc
2026-01-14,2754,82.6,82.6,82.2,82.2,15000,1216000,62,otc
2026-01-15,2754,81.8,82.2,81.6,82.1,19000,1582000,146,otc
2026-01-16,2754,82.1,82.1,81.1,81.3,17000,1384000,51,otc
2026-01-19,2754,81.3,81.7,81.0,81.0,12000,970000,32,otc
2026-01-20,2754,80.8,80.8,79.5,80.0,58000,4616000,156,otc
2026-01-21,2754,78.5,82.2,78.5,80.0,34000,2715000,63,otc
2026-01-22,2754,80.0,81.8,80.0,80.0,36000,2852000,146,otc
2026-01-23,2754,80.0,80.8,79.9,79.9,20000,1610000,37,otc
2026-01-26,2754,78.8,79.6,78.5,79.0,15000,1196000,55,otc
2026-01-27,2754,79.0,80.2,78.5,80.2,20000,1567000,35,otc
2026-01-28,2754,80.2,80.2,78.9,78.9,39000,3068000,45,otc
2026-01-29,2754,78.2,80.3,78.1,78.5,17000,1325000,37,otc
2026-01-30,2754,77.8,78.2,77.8,78.2,12000,961000,23,otc
2026-02-02,2754,78.6,78.6,77.8,77.8,15000,1150000,26,otc
2026-02-03,2754,77.1,78.5,77.1,77.8,27000,2078000,77,otc
2026-02-04,2754,77.8,78.5,77.8,78.5,14000,1093000,13,otc
2026-02-05,2754,78.5,78.9,78.0,78.0,12000,920000,36,otc
