trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,8183,33.65,33.65,33.1,33.4,236000,7898000,215,otc
2026-01-05,8183,34.0,34.0,32.5,33.0,397000,13114000,351,otc
2026-01-06,8183,32.65,33.95,32.65,33.65,453000,15205000,316,otc
2026-01-07,8183,33.6,34.35,33.6,34.15,594000,20216000,419,otc
2026-01-08,8183,34.7,34.7,33.1,33.2,504000,16928000,451,otc
2026-01-09,8183,33.6,33.7,32.65,32.9,276000,9174000,239,otc
2026-01-12,8183,33.6,33.95,33.0,33.9,380000,12765000,313,otc
2026-01-13,8183,34.4,34.4,32.3,33.9,980000,32457000,730,otc
2026-01-14,8183,34.0,34.85,33.95,34.55,765000,26323000,529,otc
2026-01-15,8183,34.9,34.9,33.9,34.4,405000,13859000,295,otc
2026-01-16,8183,35.1,35.25,34.3,34.6,476000,16491000,407,otc
2026-01-19,8183,34.6,34.85,34.2,34.7,391000,13471000,304,otc
2026-01-20,8183,34.7,34.75,34.1,34.2,270000,9274000,203,otc
2026-01-21,8183,33.75,34.05,33.45,33.7,368000,12406000,305,otc
2026-01-22,8183,33.75,34.5,33.7,33.9,273000,9262000,281,otc
2026-01-23,8183,34.45,34.45,33.6,33.8,195000,6604000,169,otc
2026-01-26,8183,34.2,34.2,33.7,33.95,210000,7121000,200,otc
2026-01-27,8183,33.95,34.75,33.75,34.05,549000,18834000,393,otc
2026-01-28,8183,34.2,34.2,33.3,33.8,285000,9602000,265,otc
2026-01-29,8183,33.8,33.8,32.85,32.95,272000,8999000,252,otc
2026-01-30,8183,33.0,33.0,32.2,32.25,286000,9258000,259,otc
2026-02-02,8183,31.85,32.15,30.7,30.85,383000,11962000,366,otc
2026-02-03,8183,31.1,31.45,30.75,31.2,239000,7405000,199,otc
2026-02-04,8183,31.4,32.0,31.0,31.95,110000,3504000,118,otc
2026-02-05,8183,32.0,32.0,31.35,31.4,185000,5859000,171,otc
2026-02-06,8183,31.7,31.7,29.9,30.85,233000,7128000,255,otc
2026-02-09,8183,31.05,31.3,30.4,30.85,219000,6757000,309,otc
2026-02-10,8183,31.25,33.35,31.25,32.9,513000,16690000,489,otc
2026-02-11,8183,32.9,33.2,32.2,32.7,199000,6467000,225,otc
2026-02-23,8183,32.7,33.5,32.4,33.45,172000,5641000,162,otc
2026-02-24,8183,33.9,34.5,33.35,34.2,497000,16879000,383,otc
2026-02-25,8183,37.6,37.6,37.6,37.6,1331000,50031000,511,otc
