trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-06-01,2434,39.75,39.75,36.15,37.15,642577,24101087,794,listed
2026-06-02,2434,37.15,37.2,35.1,35.9,283270,10219152,454,listed
2026-06-03,2434,37.0,39.45,36.85,36.95,432465,16429735,815,listed
2026-06-04,2434,36.2,36.95,35.25,35.55,61399,2207959,129,listed
2026-06-05,2434,36.6,36.6,34.2,35.2,66404,2329373,94,listed
2026-06-08,2434,33.0,33.85,32.5,32.7,81423,2673781,83,listed
2026-06-09,2434,33.7,34.75,32.75,34.6,58213,1985102,170,listed
2026-06-10,2434,34.2,34.5,32.1,32.45,75457,2484215,88,listed
2026-06-11,2434,32.45,33.5,32.2,32.45,31966,1042042,41,listed
2026-06-12,2434,33.5,33.5,32.45,32.5,70128,2293548,47,listed
2026-06-15,2434,32.95,35.75,32.95,34.55,110924,3839556,147,listed
2026-06-16,2434,34.3,38.0,34.3,38.0,646250,24195656,1374,listed
2026-06-17,2434,38.55,39.5,36.3,36.5,378618,14165197,355,listed
2026-06-18,2434,37.0,40.05,37.0,38.85,501748,19605449,678,listed
