trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,4153,35.5,35.5,34.9,35.1,12000,421000,22,otc
2026-01-05,4153,35.1,35.25,34.85,35.1,30000,1040000,31,otc
2026-01-06,4153,35.2,35.6,35.1,35.25,115000,4047000,68,otc
2026-01-07,4153,35.25,35.35,34.45,35.35,84000,2912000,53,otc
2026-01-08,4153,35.35,35.35,34.9,34.9,15000,526000,15,otc
2026-01-09,4153,35.25,35.25,34.85,35.25,20000,710000,40,otc
2026-01-12,4153,35.1,35.3,34.8,34.9,27000,957000,32,otc
2026-01-13,4153,35.05,35.05,34.65,34.85,17000,587000,29,otc
2026-01-14,4153,34.65,34.95,34.55,34.95,25000,880000,57,otc
2026-01-15,4153,35.5,35.5,35.0,35.0,3000,98000,19,otc
2026-01-16,4153,35.0,35.1,34.35,34.7,53000,1851000,46,otc
2026-01-19,4153,35.3,35.3,34.4,34.7,22000,775000,38,otc
2026-01-20,4153,34.9,35.15,34.35,34.35,17000,587000,16,otc
2026-01-21,4153,34.95,34.95,34.2,34.6,31000,1067000,26,otc
2026-01-22,4153,34.8,34.85,33.65,33.85,117000,3978000,69,otc
2026-01-23,4153,34.15,34.15,33.5,33.5,33000,1121000,43,otc
2026-01-26,4153,34.05,34.05,33.4,33.8,10000,338000,13,otc
2026-01-27,4153,34.6,34.6,33.5,33.95,18000,611000,28,otc
2026-01-28,4153,34.2,34.2,33.5,33.7,15000,516000,28,otc
2026-01-29,4153,34.05,34.1,33.35,33.6,23000,784000,21,otc
2026-01-30,4153,33.65,33.65,32.7,33.0,42000,1387000,37,otc
2026-02-02,4153,33.95,33.95,33.5,33.55,19000,648000,19,otc
2026-02-03,4153,33.85,33.85,33.15,33.2,7000,244000,16,otc
2026-02-04,4153,34.15,34.35,33.25,34.0,35000,1193000,23,otc
2026-02-05,4153,34.25,34.25,33.95,34.0,11000,381000,10,otc
2026-02-06,4153,33.7,34.15,33.0,33.75,19000,637000,19,otc
2026-02-09,4153,33.6,33.6,33.2,33.55,3000,102000,11,otc
2026-02-10,4153,33.55,34.45,33.55,33.9,11000,375000,20,otc
2026-02-11,4153,34.1,34.1,33.0,33.55,10000,334000,11,otc
2026-02-23,4153,34.15,34.15,34.0,34.0,3000,114000,14,otc
2026-02-24,4153,34.8,34.8,33.45,34.05,7000,224000,61,otc
2026-02-25,4153,34.05,34.1,33.5,33.7,19000,651000,35,otc
2026-02-26,4153,33.7,34.4,33.65,34.3,43000,1471000,77,otc
2026-03-02,4153,34.6,34.6,34.05,34.25,39000,1340000,36,otc
2026-03-03,4153,34.15,34.2,34.0,34.1,32000,1105000,27,otc
2026-03-04,4153,34.45,34.45,33.7,33.95,20000,677000,14,otc
2026-03-05,4153,34.95,34.95,33.7,33.75,27000,907000,15,otc
2026-03-06,4153,34.25,34.25,33.8,33.9,23000,781000,21,otc
2026-03-09,4153,34.25,34.25,33.4,33.9,16000,544000,23,otc
2026-03-10,4153,34.85,34.85,34.1,34.25,15000,501000,21,otc
2026-03-11,4153,34.35,34.35,34.3,34.3,3000,103000,4,otc
2026-03-12,4153,34.35,34.35,33.9,33.95,10000,343000,14,otc
2026-03-13,4153,34.95,34.95,34.1,34.1,33000,1141000,31,otc
2026-03-16,4153,35.05,35.05,33.95,34.4,27000,928000,26,otc
2026-03-17,4153,35.75,35.75,33.85,34.0,33000,1126000,52,otc
2026-03-18,4153,34.25,34.25,34.2,34.2,2000,76000,6,otc
2026-03-19,4153,34.0,34.0,33.3,33.3,46000,1523000,86,otc
2026-03-20,4153,33.7,33.7,32.7,32.7,120000,3962000,104,otc
2026-03-23,4153,33.3,33.3,32.6,32.6,18000,592000,20,otc
2026-03-24,4153,32.6,32.6,31.55,32.05,43000,1380000,29,otc
2026-03-25,4153,33.0,33.5,33.0,33.45,7000,216000,25,otc
2026-03-26,4153,33.6,33.6,32.8,33.1,11000,366000,12,otc
2026-03-27,4153,33.65,33.65,32.5,33.3,20000,660000,19,otc
2026-03-30,4153,32.4,33.3,32.4,33.0,12000,409000,49,otc
2026-03-31,4153,33.0,33.25,32.55,32.6,64000,2103000,15,otc
2026-04-01,4153,33.1,33.4,32.25,32.6,23000,755000,24,otc
2026-04-02,4153,33.25,33.25,32.6,32.8,5000,164000,5,otc
2026-04-07,4153,33.4,33.4,32.6,32.75,11000,377000,37,otc
2026-04-08,4153,33.6,33.6,32.65,32.85,132000,4331000,81,otc
2026-04-09,4153,32.65,32.95,32.55,32.55,58000,1897000,28,otc
2026-04-10,4153,32.8,32.95,32.5,32.55,24000,795000,27,otc
2026-04-13,4153,33.0,33.0,32.25,32.3,169000,5502000,56,otc
2026-04-14,4153,32.3,32.4,32.2,32.2,196000,6333000,85,otc
2026-04-15,4153,32.05,32.4,32.0,32.15,37000,1176000,39,otc
2026-04-16,4153,32.2,32.2,31.75,32.2,61000,1942000,115,otc
2026-04-17,4153,32.15,32.2,32.0,32.0,24000,757000,28,otc
2026-04-20,4153,31.75,32.2,31.75,32.05,73000,2333000,32,otc
2026-04-21,4153,32.05,32.45,32.05,32.15,27000,853000,31,otc
2026-04-22,4153,32.15,32.3,32.05,32.3,145000,4664000,54,otc
2026-04-23,4153,32.4,32.4,31.8,32.0,40000,1271000,39,otc
2026-04-24,4153,32.05,32.05,31.75,31.8,8000,261000,15,otc
2026-04-27,4153,31.8,31.9,30.1,31.05,26000,826000,35,otc
2026-04-28,4153,30.5,31.05,30.05,30.4,43000,1313000,66,otc
2026-04-29,4153,30.55,30.55,30.55,30.55,8000,250000,13,otc
2026-04-30,4153,30.55,30.6,30.55,30.6,9000,290000,38,otc
2026-05-04,4153,30.6,30.6,30.5,30.5,30000,905000,39,otc
2026-05-05,4153,30.5,30.8,30.5,30.55,12000,370000,14,otc
2026-05-06,4153,30.45,30.45,30.15,30.2,34000,1040000,28,otc
2026-05-07,4153,31.0,31.0,29.85,30.2,87000,2636000,95,otc
2026-05-08,4153,30.15,30.15,29.8,29.95,50000,1479000,41,otc
2026-05-11,4153,30.9,30.9,30.65,30.7,30000,912000,31,otc
2026-05-12,4153,30.7,30.7,30.35,30.35,9000,279000,13,otc
2026-05-13,4153,30.0,30.5,29.95,30.15,40000,1204000,29,otc
2026-05-14,4153,29.7,30.25,29.5,30.2,48000,1434000,48,otc
2026-05-15,4153,30.7,31.4,30.25,30.5,38000,1147000,26,otc
2026-05-18,4153,30.15,30.75,29.95,30.5,34000,1027000,23,otc
2026-05-19,4153,30.8,30.9,30.3,30.85,19000,583000,26,otc
2026-05-20,4153,31.0,31.0,30.75,30.75,6000,172000,13,otc
2026-05-21,4153,30.95,30.95,30.5,30.55,12000,373000,18,otc
2026-05-22,4153,31.0,31.05,30.8,31.0,16000,482000,27,otc
2026-05-25,4153,31.0,31.2,30.45,30.65,22000,685000,26,otc
2026-05-26,4153,30.2,30.9,30.15,30.6,24000,739000,16,otc
2026-05-27,4153,30.7,31.0,30.65,30.7,39000,1191000,63,otc
2026-05-28,4153,31.5,32.55,31.0,31.6,44000,1376000,43,otc
2026-05-29,4153,32.9,32.9,31.6,31.7,28000,886000,28,otc
2026-06-01,4153,32.5,32.5,31.75,31.85,86000,2751000,74,otc
2026-06-02,4153,31.85,32.0,31.3,31.4,36000,1152000,54,otc
2026-06-03,4153,31.15,31.75,31.0,31.25,67000,2096000,71,otc
2026-06-04,4153,31.4,31.45,31.2,31.45,20000,642000,26,otc
2026-06-05,4153,31.5,31.5,31.35,31.45,19000,592000,40,otc
2026-06-08,4153,31.4,31.85,31.2,31.65,18000,553000,31,otc
2026-06-09,4153,31.6,31.75,31.6,31.65,34000,1071000,29,otc
2026-06-10,4153,31.5,31.85,31.5,31.65,29000,921000,34,otc
2026-06-11,4153,32.15,32.45,31.65,32.35,47000,1513000,69,otc
2026-06-12,4153,29.5,30.2,29.5,29.9,46000,1383000,65,otc
2026-06-15,4153,29.55,30.0,29.55,29.75,23000,675000,31,otc
2026-06-16,4153,29.9,30.8,29.8,29.8,18000,550000,24,otc
2026-06-17,4153,29.8,30.65,29.8,30.0,8000,242000,9,otc
2026-06-18,4153,30.0,30.35,29.7,30.0,11000,325000,15,otc
