trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,6228,26.75,26.95,26.75,26.85,6000,164000,11,otc
2026-01-05,6228,27.2,28.05,27.0,27.1,27000,751000,37,otc
2026-01-06,6228,27.1,27.1,25.75,26.8,21000,575000,20,otc
2026-01-07,6228,26.65,26.65,25.85,26.05,45000,1184000,65,otc
2026-01-08,6228,26.05,26.3,25.5,26.25,22000,576000,16,otc
2026-01-09,6228,25.8,26.3,25.7,26.3,6000,156000,7,otc
2026-01-12,6228,26.3,26.45,26.0,26.45,27000,718000,25,otc
2026-01-13,6228,26.05,26.05,25.8,25.8,12000,299000,18,otc
2026-01-14,6228,25.8,26.4,25.8,26.4,15000,385000,20,otc
2026-01-15,6228,26.0,26.0,25.8,26.0,15000,392000,17,otc
2026-01-16,6228,26.0,26.15,26.0,26.0,26000,679000,19,otc
2026-01-19,6228,25.95,26.0,25.5,25.65,15000,374000,20,otc
2026-01-20,6228,25.65,25.85,25.45,25.85,19000,482000,22,otc
2026-01-21,6228,25.9,25.9,25.35,25.5,22000,562000,18,otc
2026-01-22,6228,25.5,26.05,24.75,26.0,28000,710000,22,otc
2026-01-23,6228,25.85,26.5,25.45,25.55,54000,1383000,42,otc
2026-01-26,6228,25.6,26.0,24.8,25.6,37000,941000,36,otc
2026-01-27,6228,25.3,25.4,25.1,25.2,11000,280000,16,otc
2026-01-28,6228,25.2,25.2,24.9,24.9,8000,207000,15,otc
2026-01-29,6228,24.9,24.9,24.7,24.75,6000,156000,13,otc
2026-01-30,6228,25.25,25.25,24.55,24.55,9000,225000,12,otc
2026-02-02,6228,24.6,24.7,24.6,24.7,2000,59000,10,otc
2026-02-03,6228,24.8,25.7,24.75,24.75,15000,373000,26,otc
2026-02-04,6228,24.75,25.85,24.75,25.3,11000,281000,11,otc
2026-02-05,6228,25.1,25.1,25.1,25.1,1000,25000,1,otc
2026-02-06,6228,24.9,25.8,24.9,25.8,13000,333000,14,otc
2026-02-09,6228,27.35,27.35,25.5,26.65,13000,345000,14,otc
2026-02-10,6228,25.75,26.15,25.6,26.05,9000,244000,19,otc
2026-02-11,6228,26.05,26.05,25.0,25.05,18000,448000,23,otc
2026-02-23,6228,25.0,25.4,24.35,24.6,21000,530000,32,otc
2026-02-24,6228,24.95,25.0,24.85,24.9,7000,165000,18,otc
2026-02-25,6228,24.8,24.8,24.4,24.55,14000,350000,24,otc
2026-02-26,6228,24.55,24.55,24.3,24.55,25000,612000,37,otc
2026-03-02,6228,24.55,24.85,23.7,24.55,28000,686000,36,otc
2026-03-03,6228,24.2,24.5,23.9,24.5,11000,265000,14,otc
2026-03-04,6228,24.0,24.0,23.5,23.85,26000,611000,24,otc
2026-03-05,6228,23.7,24.4,23.7,24.4,29000,694000,16,otc
2026-03-06,6228,23.8,23.85,23.5,23.6,15000,357000,12,otc
2026-03-09,6228,23.6,23.6,23.25,23.6,5000,122000,8,otc
2026-03-10,6228,23.0,23.0,22.95,23.0,13000,304000,18,otc
2026-03-11,6228,23.0,24.45,22.6,24.45,9000,204000,12,otc
2026-03-12,6228,,,,,0,0,1,otc
2026-03-13,6228,25.25,25.25,23.5,24.0,7000,172000,8,otc
2026-03-16,6228,23.5,24.3,23.5,24.25,9000,222000,12,otc
2026-03-17,6228,24.25,24.8,24.25,24.6,5000,128000,10,otc
2026-03-18,6228,24.5,25.0,24.5,25.0,6000,149000,7,otc
2026-03-19,6228,25.0,25.0,23.5,24.5,7000,171000,10,otc
2026-03-20,6228,24.5,24.5,23.5,24.0,8000,184000,13,otc
2026-03-23,6228,23.1,24.1,23.1,24.0,4000,99000,6,otc
2026-03-24,6228,23.7,24.8,23.7,24.3,5000,125000,11,otc
2026-03-25,6228,24.0,24.5,24.0,24.5,6000,145000,7,otc
2026-03-26,6228,24.0,24.3,23.75,24.3,3000,72000,3,otc
2026-03-27,6228,23.5,24.3,23.5,24.3,2000,48000,2,otc
2026-03-30,6228,,,,,0,2000,1,otc
2026-03-31,6228,24.3,24.55,23.3,24.3,10000,249000,18,otc
2026-04-01,6228,23.4,23.4,23.4,23.4,2000,52000,5,otc
2026-04-02,6228,23.4,23.4,23.4,23.4,1000,24000,4,otc
2026-04-07,6228,23.4,23.4,22.95,23.4,7000,162000,7,otc
2026-04-08,6228,23.25,23.95,23.2,23.95,18000,424000,15,otc
2026-04-09,6228,24.0,24.0,23.9,23.9,3000,72000,3,otc
2026-04-10,6228,23.85,23.85,22.95,23.7,8000,191000,9,otc
2026-04-13,6228,23.5,25.6,23.5,25.0,17000,427000,21,otc
2026-04-14,6228,24.15,25.15,24.15,25.1,17000,426000,21,otc
2026-04-15,6228,25.0,25.95,25.0,25.35,8000,211000,15,otc
2026-04-16,6228,25.0,25.0,25.0,25.0,1000,30000,6,otc
2026-04-17,6228,,,,,0,0,0,otc
2026-04-20,6228,23.4,23.95,23.4,23.95,2000,57000,10,otc
2026-04-21,6228,24.0,24.5,24.0,24.5,6000,137000,18,otc
2026-04-22,6228,24.5,24.5,24.5,24.5,23000,558000,12,otc
2026-04-23,6228,24.5,24.55,23.6,24.4,24000,577000,20,otc
2026-04-24,6228,24.4,24.4,24.4,24.4,1000,25000,2,otc
2026-04-27,6228,24.25,24.25,23.8,23.8,3000,76000,6,otc
2026-04-28,6228,23.5,24.3,23.05,24.3,5000,120000,6,otc
2026-04-29,6228,24.3,24.75,23.55,23.75,6000,147000,12,otc
2026-04-30,6228,23.75,23.8,23.0,23.75,10000,237000,10,otc
2026-05-04,6228,23.7,24.3,23.7,24.3,3000,73000,4,otc
2026-05-05,6228,,,,,0,6000,4,otc
2026-05-06,6228,24.45,24.45,23.25,23.3,22000,523000,25,otc
2026-05-07,6228,22.2,23.3,22.05,22.4,9000,209000,15,otc
2026-05-08,6228,22.4,23.45,22.4,22.45,14000,319000,15,otc
2026-05-11,6228,22.5,22.5,22.1,22.1,17000,371000,30,otc
2026-05-12,6228,22.0,22.0,21.4,21.55,13000,276000,27,otc
2026-05-13,6228,21.45,21.45,20.65,20.65,30000,614000,34,otc
2026-05-14,6228,20.65,22.7,20.65,22.7,69000,1558000,31,otc
2026-05-15,6228,22.7,22.7,20.5,22.45,73000,1599000,62,otc
2026-05-18,6228,22.3,22.3,21.6,22.3,4000,89000,7,otc
2026-05-19,6228,22.3,22.3,20.5,22.3,15000,328000,20,otc
2026-05-20,6228,21.35,22.3,21.35,21.6,8000,174000,7,otc
