trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,1305,10.95,11.0,10.7,10.75,1731917.0,18735415.0,765.0,listed
2026-01-05,1305,10.75,10.75,10.55,10.6,1131496.0,12037354.0,608.0,listed
2026-01-06,1305,10.6,10.9,10.6,10.85,1215817.0,13079707.0,546.0,listed
2026-01-07,1305,10.85,11.7,10.85,11.35,4928430.0,56368902.0,1682.0,listed
2026-01-08,1305,11.75,12.3,11.3,11.35,6720832.0,79210811.0,2155.0,listed
2026-01-09,1305,11.4,11.55,11.05,11.15,1703089.0,19072467.0,885.0,listed
2026-01-12,1305,11.3,11.85,11.2,11.6,3249763.0,37539625.0,1263.0,listed
2026-01-13,1305,11.5,11.55,11.25,11.45,2479526.0,28171857.0,829.0,listed
2026-01-14,1305,11.55,11.75,11.45,11.6,2881947.0,33470606.0,1039.0,listed
2026-01-15,1305,11.55,12.4,11.55,12.35,8438463.0,101989309.0,2908.0,listed
2026-01-16,1305,12.35,12.45,11.85,11.9,4044888.0,48833405.0,1517.0,listed
2026-01-19,1305,12.0,12.7,12.0,12.35,6834858.0,84853298.0,2545.0,listed
2026-01-20,1305,12.3,12.3,11.85,11.95,4056813.0,48762524.0,1413.0,listed
2026-01-21,1305,11.85,11.9,11.6,11.8,3469637.0,40709433.0,1148.0,listed
2026-01-22,1305,11.9,12.2,11.55,11.9,3107184.0,36664564.0,1355.0,listed
2026-01-23,1305,12.0,12.2,11.7,12.0,2777248.0,33182123.0,809.0,listed
2026-01-26,1305,12.1,12.7,12.1,12.7,10542628.0,131696411.0,3382.0,listed
2026-01-27,1305,12.8,12.95,12.25,12.45,5807767.0,72833778.0,1943.0,listed
2026-01-28,1305,12.6,13.3,12.35,12.7,9154574.0,117237934.0,3200.0,listed
2026-01-29,1305,12.75,12.8,12.4,12.6,4285521.0,53989855.0,1378.0,listed
2026-01-30,1305,12.7,13.05,12.4,12.45,5364940.0,67932431.0,1941.0,listed
2026-02-02,1305,12.4,12.4,11.5,11.6,4872822.0,57574811.0,1747.0,listed
2026-02-03,1305,11.8,11.8,11.4,11.4,2346559.0,27103329.0,946.0,listed
2026-02-04,1305,11.4,11.9,11.35,11.8,2692305.0,31554706.0,898.0,listed
2026-02-05,1305,11.85,12.0,11.65,11.8,1204890.0,14250843.0,2692.0,listed
2026-02-06,1305,11.8,11.8,11.25,11.5,1749699.0,20033190.0,769.0,listed
2026-02-09,1305,11.7,12.15,11.5,12.05,2411237.0,28770953.0,1054.0,listed
2026-02-10,1305,12.15,12.15,11.6,11.7,1533834.0,17998698.0,752.0,listed
2026-02-11,1305,11.7,12.0,11.65,11.9,1986513.0,23614895.0,833.0,listed
2026-02-23,1305,11.9,12.15,11.85,11.85,1791538.0,21428592.0,1288.0,listed
2026-02-24,1305,12.0,12.3,11.9,12.05,2772612.0,33516624.0,1139.0,listed
2026-02-25,1305,12.1,12.85,12.0,12.8,6634770.0,82182620.0,2527.0,listed
2026-02-26,1305,12.65,12.7,12.25,12.4,4439291.0,55234309.0,1848.0,listed
2026-03-02,1305,12.9,13.4,12.15,12.2,4650496.0,58385789.0,2118.0,listed
2026-03-03,1305,12.35,13.2,12.2,12.95,10394334.0,132933717.0,3939.0,listed
