trade_date,stock_id,open,high,low,close,volume,turnover,trades,market
2026-01-02,1312,11.65,11.75,11.25,11.3,5294389.0,60525021.0,1599.0,listed
2026-01-05,1312,11.3,11.4,11.1,11.15,3759958.0,42223355.0,1095.0,listed
2026-01-06,1312,11.3,11.45,11.2,11.3,3836099.0,43402925.0,1187.0,listed
2026-01-07,1312,11.4,12.1,11.35,11.95,7771138.0,92215655.0,2634.0,listed
2026-01-08,1312,12.0,12.25,11.9,11.95,7716268.0,93005680.0,2273.0,listed
2026-01-09,1312,12.3,12.65,12.0,12.4,18805780.0,232355641.0,5238.0,listed
2026-01-12,1312,12.6,13.6,12.5,12.85,39564935.0,521720829.0,10025.0,listed
2026-01-13,1312,13.15,13.15,12.4,13.05,15187714.0,194234801.0,4795.0,listed
2026-01-14,1312,13.15,13.25,12.7,12.85,9431836.0,121772574.0,3363.0,listed
2026-01-15,1312,12.85,14.1,12.75,13.75,34712317.0,475207981.0,9033.0,listed
2026-01-16,1312,13.9,13.95,13.4,13.5,14965206.0,203727045.0,4775.0,listed
2026-01-19,1312,13.5,13.9,13.2,13.55,10057439.0,137219129.0,3561.0,listed
2026-01-20,1312,13.5,13.65,12.95,13.0,11211456.0,147873065.0,4101.0,listed
2026-01-21,1312,12.95,13.1,12.7,12.9,7049784.0,90726699.0,2438.0,listed
2026-01-22,1312,13.1,13.8,13.05,13.6,12917705.0,173847067.0,3838.0,listed
2026-01-23,1312,13.75,13.9,13.25,13.4,7308192.0,98777830.0,2470.0,listed
2026-01-26,1312,13.4,14.25,13.4,13.85,16648185.0,231307284.0,5337.0,listed
2026-01-27,1312,14.0,14.1,13.25,13.35,9045659.0,122161376.0,3207.0,listed
2026-01-28,1312,13.4,13.75,13.05,13.55,9913785.0,133491778.0,3134.0,listed
2026-01-29,1312,13.6,13.6,13.2,13.4,6304611.0,84122867.0,2074.0,listed
2026-01-30,1312,13.4,13.75,13.3,13.5,7716881.0,104123999.0,2034.0,listed
2026-02-02,1312,13.25,13.25,12.5,12.8,13908358.0,176722596.0,3637.0,listed
2026-02-03,1312,13.0,13.1,12.55,12.65,5791510.0,73848214.0,2135.0,listed
