event_id,revenue_month,announcement_date,announcement_time,market,stock_id,company_name,current_month_revenue,previous_month_revenue,previous_year_month_revenue,mom_pct,yoy_pct,cumulative_revenue,previous_year_cumulative_revenue,cumulative_yoy_pct,note,source_url
revenue_202604_2603,2026-04,2026-05-10,after_close,listed,2603,長榮,31359253.0,27522156.0,30004819.0,0.1394,0.0451,117870724.0,139975380.0,-0.15789999999999998,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2605,2026-04,2026-05-10,after_close,listed,2605,新興,403239.0,529767.0,426524.0,-0.23879999999999998,-0.0545,1770514.0,1371096.0,0.2913,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2606,2026-04,2026-05-10,after_close,listed,2606,裕民,1691302.0,1467421.0,1219668.0,0.1525,0.38659999999999994,5583067.0,4651685.0,0.2002,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2607,2026-04,2026-05-10,after_close,listed,2607,榮運,1436642.0,1433373.0,1416741.0,0.0022,0.013999999999999999,5428543.0,6028203.0,-0.09939999999999999,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2608,2026-04,2026-05-10,after_close,listed,2608,嘉里大榮,1048129.0,1097724.0,1072982.0,-0.0451,-0.0231,4150889.0,4123607.0,0.0066,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2609,2026-04,2026-05-10,after_close,listed,2609,陽明,14227637.0,12455154.0,12493271.0,0.1423,0.1388,52888136.0,58009973.0,-0.0882,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2610,2026-04,2026-05-10,after_close,listed,2610,華航,20854472.0,20785205.0,17902039.0,0.0033,0.1649,77812091.0,70548937.0,0.10289999999999999,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2611,2026-04,2026-05-10,after_close,listed,2611,志信,127666.0,220495.0,58169.0,-0.42100000000000004,1.1947,481092.0,226171.0,1.1271,本期建案完工交屋，故營收增加。,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2612,2026-04,2026-05-10,after_close,listed,2612,中航,434939.0,464771.0,398861.0,-0.0641,0.0904,1673172.0,1627775.0,0.0278,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
revenue_202604_2613,2026-04,2026-05-10,after_close,listed,2613,中櫃,292716.0,286119.0,275904.0,0.023,0.060899999999999996,1121406.0,1047596.0,0.0704,-,https://mopsov.twse.com.tw/nas/t21/sii/t21sc03_115_4.html
