event_id,revenue_month,announcement_date,announcement_time,buy_date,buy_price,market,stock_id,company_name,current_month_revenue,mom_pct,yoy_pct,cumulative_yoy_pct,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares,avg_volume_5d,avg_volume_20d,previous_volume,previous_volume_ratio_20d,breakout_20d,breakout_60d,breakout_120d,breakout_240d,eps_quality_score,price_file
revenue_202604_4946,2026-04,2026-05-10,after_close,2026-05-11,105.0,otc,4946,辣椒,21295.0,0.020099999999999996,-0.39,-0.34049999999999997,3039.0,0.0,0.0,3039.0,67000.0,69800.0,62000.0,0.8882521489971347,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\4946.csv
revenue_202604_5263,2026-04,2026-05-10,after_close,2026-05-11,104.5,otc,5263,智崴,162457.0,0.0203,0.6194,0.3668,-28000.0,0.0,11000.0,-17000.0,401000.0,230850.0,212000.0,0.9183452458306259,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\5263.csv
revenue_202604_5478,2026-04,2026-05-10,after_close,2026-05-11,96.5,otc,5478,智冠,561540.0,-0.131,0.1074,0.1759,-25000.0,0.0,176.0,-24824.0,121000.0,141400.0,106000.0,0.7496463932107497,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\5478.csv
revenue_202604_6101,2026-04,2026-05-10,after_close,2026-05-11,38.9,otc,6101,寬魚國際,83346.0,-0.8377,-0.3778,2.029,20000.0,0.0,0.0,20000.0,132000.0,100050.0,182000.0,1.8190904547726137,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6101.csv
revenue_202604_6111,2026-04,2026-05-10,after_close,2026-05-11,48.55,otc,6111,光聚晶電,1078433.0,0.0767,1.4945,1.3409,83000.0,0.0,14794.0,97794.0,411800.0,588150.0,474000.0,0.8059168579444019,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6111.csv
revenue_202604_6144,2026-04,2026-05-10,after_close,2026-05-11,14.7,otc,6144,得利影,13196.0,0.0015,-0.0344,-0.11220000000000001,2000.0,0.0,0.0,2000.0,18800.0,20400.0,17000.0,0.8333333333333334,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6144.csv
revenue_202604_6169,2026-04,2026-05-10,after_close,2026-05-11,16.6,otc,6169,昱泉,33.0,-0.5769,-0.9898,-0.9872,1000.0,0.0,0.0,1000.0,24400.0,21800.0,19000.0,0.8715596330275229,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6169.csv
revenue_202604_6180,2026-04,2026-05-10,after_close,2026-05-11,39.25,otc,6180,橘子,658997.0,0.021099999999999997,-0.1572,-0.11320000000000001,173000.0,-1734.0,-10.0,171256.0,630200.0,501600.0,522000.0,1.0406698564593302,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6180.csv
revenue_202604_6294,2026-04,2026-05-10,after_close,2026-05-11,34.0,otc,6294,智基,81843.0,0.0398,-0.1522,-0.14550000000000002,8000.0,0.0,119.0,8119.0,78200.0,63350.0,54000.0,0.8524072612470402,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6294.csv
revenue_202604_6482,2026-04,2026-05-10,after_close,2026-05-11,29.9,otc,6482,弘煜科,22439.0,-0.2293,-0.4939,-0.3824,-2000.0,0.0,0.0,-2000.0,12200.0,24200.0,12000.0,0.49586776859504134,False,False,False,False,,D:\mainSD\projects\topic_06_self_assessed_eps_catalyst\project_data\simple_monthly_revenue\prices\6482.csv
