combo,trades,months,win_rate,avg_return_pct,median_return_pct,monthly_avg_return_pct,hit_goal
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,breakout_240d,avg_volume_5d_gt_300k,breakout_60d,prev_vol_ratio_gt_1_5,breakout_20d,avg_volume_5d_gt_100k,foreign_buy_gt_100k",24,5,0.708333,0.115033,0.068041,0.17815,False
"breakout_120d,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_240d,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_240d,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,breakout_60d,prev_vol_ratio_gt_1_5,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,prev_vol_ratio_gt_1_5,breakout_20d,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
"breakout_120d,prev_vol_ratio_gt_1_5,avg_volume_5d_gt_100k,foreign_buy_gt_100k",25,5,0.72,0.115374,0.068041,0.177018,False
