tune_index,threshold,chip_weight,tech_weight,fundamental_weight,trades,months,min_trades_per_month,win_rate,avg_return_pct,monthly_avg_return_pct,objective
0,0.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,0.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,1.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,1.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,2.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,2.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,3.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,3.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,4.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,4.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,5.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,5.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,6.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,6.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,7.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,7.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,8.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,8.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,9.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,9.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,10.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,10.5,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
0,11.0,1.0,1.0,1.0,25,5,5,0.6,0.044891,0.044891,0.322445
