stock_id,company_name,market,chip_date,foreign_net_buy_shares,investment_trust_net_buy_shares,dealer_net_buy_shares,institutional_total_net_buy_shares
1301,台塑,twse,20260618,142290326.0,-107362798.0,375053.0,35302581.0
1303,南亞,twse,20260618,4408573.0,331086.0,-56683.0,4682976.0
1326,台化,twse,20260618,428520.0,1755000.0,437468.0,2620988.0
1304,台聚,twse,20260618,2347000.0,0.0,137064.0,2484064.0
3090,日電貿,twse,20260618,-1153206.0,2428000.0,-4136.0,1270658.0
1477,聚陽,twse,20260618,2832231.0,-2156461.0,-24969.0,650801.0
2455,全新,twse,20260618,-1831220.0,2197000.0,255219.0,620999.0
2105,正新,twse,20260618,1383125.0,-1463563.0,597540.0,517102.0
3026,禾伸堂,twse,20260618,239931.0,55000.0,61497.0,356428.0
1444,力麗,twse,20260618,173293.0,0.0,81000.0,254293.0
8021,尖點,twse,20260618,234398.0,0.0,18540.0,252938.0
1312,國喬,twse,20260618,-125000.0,0.0,135632.0,10632.0
1454,台富,twse,20260618,0.0,0.0,0.0,0.0
1323,永裕,twse,20260618,-3000.0,0.0,0.0,-3000.0
6834,天二科技,twse,20260618,-55000.0,0.0,-19014.0,-74014.0
1449,佳和,twse,20260618,-88992.0,0.0,0.0,-88992.0
2493,揚博,twse,20260618,-253907.0,0.0,92868.0,-161039.0
1305,華夏,twse,20260618,-342000.0,0.0,59481.0,-282519.0
1471,首利,twse,20260618,-352000.0,0.0,-3879.0,-355879.0
1309,台達化,twse,20260618,-383500.0,0.0,-44996.0,-428496.0
1440,南紡,twse,20260618,-2050500.0,0.0,-2733.0,-2053233.0
1409,新纖,twse,20260618,-14691652.0,2000.0,-246057.0,-14935709.0
