stock_id,company_name,sources,event_count
1301,台塑,project_data/2026_h1/main_strategy_events.csv,1
1303,南亞,project_data/2026_h1/main_strategy_events.csv,1
1304,台聚,project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,1
1305,華夏,project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,1
1309,台達化,project_data/2026_h1/main_strategy_events.csv;project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,2
1312,國喬,project_data/2026_h1/main_strategy_events.csv;project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,2
1323,永裕,project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,1
1326,台化,project_data/2026_h1/main_strategy_events.csv,1
1409,新纖,project_data/2026_h1/main_strategy_events.csv;project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,2
1440,南紡,project_data/2026_h1/main_strategy_events.csv;project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,2
1441,大東,project_data/2026_h1/main_strategy_events.csv;project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,2
1444,力麗,project_data/2026_h1/main_strategy_events.csv;project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,2
1449,佳和,project_data/2026_h1/main_strategy_events.csv;project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,2
1454,台富,project_data/2026_h1/main_strategy_events.csv;project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,2
1471,首利,project_data/2026_h1/main_strategy_events.csv;project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,2
1477,聚陽,project_data/2026_h1/main_strategy_events.csv,1
2105,正新,project_data/2026_h1/main_strategy_events.csv,1
2455,全新,project_data/2026_h1/main_strategy_events.csv,1
2493,揚博,project_data/2026_h1/main_strategy_events.csv;project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,2
3026,禾伸堂,project_data/2026_h1/main_strategy_events.csv,1
3090,日電貿,project_data/2026_h1/main_strategy_events.csv,1
6834,天二科技,project_data/2026_h1/main_strategy_events.csv,1
8021,尖點,project_data/2026_h1/main_strategy_events.csv;project_data/fundamental_event_lab/fundamental_events_2026_h1.csv,2
